#{"t_start": 1670943835.536957, "env_id": "Breakout-v0"}
r,l,t
3.0,324,1184.524373
2.0,340,1185.431795
2.0,288,1186.209632
6.0,479,1187.667025
6.0,527,1189.251908
9.0,710,1191.369424
3.0,303,1192.229779
5.0,427,1193.424273
9.0,704,1195.615927
3.0,360,1196.626215
10.0,681,1198.716764
9.0,645,1277.292749
9.0,651,1279.282905
4.0,372,1280.399216
9.0,680,1282.435343
8.0,607,1284.288784
21.0,853,1286.923951
6.0,477,1288.326833
6.0,473,1289.756283
2.0,309,1290.595098
5.0,446,1291.814372
3.0,346,1292.777259
5.0,435,1294.02356
11.0,751,1296.407705
9.0,676,1298.495503
10.0,550,1300.181612
8.0,574,1301.967159
7.0,546,1303.56412
6.0,524,1305.12863
7.0,555,1384.087134
10.0,667,1386.115073
9.0,599,1388.013098
9.0,680,1390.103434
9.0,677,1392.213482
3.0,340,1393.135863
4.0,368,1394.234551
8.0,574,1396.005325
5.0,459,1397.411994
5.0,415,1398.572469
5.0,429,1399.837025
9.0,616,1401.739447
10.0,772,1404.140361
3.0,339,1405.058546
4.0,390,1406.17251
10.0,671,1408.214403
8.0,576,1409.992116
4.0,413,1485.847005
4.0,403,1486.952083
8.0,620,1488.912256
9.0,655,1490.909817
6.0,493,1492.371943
8.0,553,1494.07149
9.0,694,1496.135916
6.0,465,1497.518539
8.0,594,1499.324852
5.0,469,1500.667771
7.0,548,1502.326321
9.0,651,1504.253113
5.0,429,1505.53892
9.0,689,1507.628262
7.0,579,1509.423697
4.0,378,1510.561207
9.0,622,1512.422485
7.0,531,1588.860476
9.0,649,1590.81513
10.0,689,1592.962014
6.0,523,1594.488385
6.0,522,1596.069542
10.0,714,1598.210412
7.0,563,1599.906493
10.0,662,1601.931075
5.0,491,1603.378215
2.0,267,1604.071488
4.0,422,1605.345956
2.0,320,1606.241763
3.0,367,1607.275353
6.0,501,1608.779409
10.0,706,1610.995235
7.0,573,1612.748105
3.0,363,1613.728709
6.0,522,1615.220297
7.0,566,1616.880467
11.0,761,1693.775671
9.0,595,1695.572167
7.0,588,1697.427801
8.0,626,1699.368941
8.0,603,1701.146867
11.0,749,1703.515954
7.0,556,1705.249079
1.0,234,1705.80241
9.0,646,1707.747135
16.0,847,1710.440639
5.0,450,1711.767797
7.0,556,1713.400114
5.0,442,1714.728814
6.0,491,1716.230768
8.0,646,1718.156321
13.0,721,1794.935005
8.0,525,1796.505579
7.0,497,1797.977874
7.0,546,1799.637994
7.0,579,1801.336799
9.0,612,1803.204157
4.0,414,1804.357798
8.0,580,1806.133656
7.0,569,1807.869331
9.0,452,1809.22266
6.0,529,1810.879188
9.0,632,1812.770528
9.0,650,1814.79048
6.0,493,1816.248778
3.0,352,1817.203893
9.0,638,1819.146874
9.0,643,1821.064249
6.0,475,1896.649463
8.0,633,1898.512342
3.0,386,1899.588784
10.0,743,1901.838122
13.0,720,1904.048939
10.0,728,1906.310925
9.0,639,1908.262382
12.0,800,1910.71191
4.0,400,1911.883602
14.0,761,1914.266651
11.0,646,1916.25588
11.0,705,1918.406794
8.0,626,1920.264597
6.0,494,1921.842055
3.0,323,1922.68653
10.0,675,1998.764015
11.0,733,2001.078298
5.0,446,2002.431441
6.0,543,2003.979794
10.0,724,2006.170084
2.0,290,2006.926435
14.0,791,2009.428482
9.0,751,2011.769834
9.0,623,2013.590466
9.0,661,2015.600407
11.0,781,2017.976369
9.0,685,2020.0292
7.0,581,2021.697392
7.0,579,2023.443708
7.0,541,2025.079475
5.0,467,2026.44676
2.0,281,2101.374651
8.0,622,2103.254773
9.0,667,2105.425493
9.0,724,2107.611437
7.0,579,2109.300703
11.0,800,2111.708869
5.0,452,2113.022995
10.0,759,2115.34149
8.0,595,2117.171742
4.0,384,2118.320917
8.0,646,2120.25974
10.0,683,2122.302855
5.0,491,2123.697091
16.0,853,2126.283778
5.0,442,2127.538597
2.0,297,2128.362296
6.0,457,2203.928548
7.0,540,2205.572498
7.0,547,2207.157401
4.0,406,2208.342062
9.0,664,2210.304952
7.0,588,2212.032897
10.0,745,2214.293037
11.0,682,2216.353569
4.0,423,2217.594612
2.0,285,2218.305919
8.0,596,2220.134856
6.0,495,2221.564914
7.0,571,2223.30083
8.0,550,2225.049026
7.0,530,2226.627117
13.0,843,2229.233002
3.0,312,2230.135952
7.0,520,2307.991944
9.0,655,2309.981424
9.0,668,2312.07761
12.0,790,2314.54731
5.0,465,2315.875605
9.0,673,2317.923792
10.0,684,2320.015429
10.0,700,2322.115754
12.0,698,2324.276577
9.0,660,2326.298362
10.0,756,2328.595753
4.0,423,2329.864644
5.0,476,2331.293238
5.0,457,2332.677094
6.0,498,2334.185227
10.0,646,2409.912483
6.0,541,2411.52615
10.0,650,2413.592275
13.0,681,2415.687981
9.0,706,2417.813373
5.0,427,2419.145001
11.0,747,2421.447301
4.0,428,2422.647337
6.0,525,2424.234848
6.0,468,2425.609044
2.0,262,2426.33874
14.0,841,2428.910097
8.0,641,2430.870358
11.0,761,2433.25211
11.0,731,2435.495422
6.0,511,2436.992933
10.0,759,2513.427197
10.0,716,2515.585167
7.0,546,2517.192725
7.0,564,2518.810281
8.0,581,2520.549725
9.0,660,2522.495533
9.0,658,2524.457285
6.0,503,2526.05967
6.0,466,2527.436594
11.0,775,2529.792293
5.0,455,2531.105768
6.0,487,2532.569013
8.0,635,2534.456573
5.0,481,2535.853605
8.0,531,2537.468448
14.0,623,2539.350859
9.0,690,2615.530399
9.0,654,2617.557823
10.0,698,2619.642479
11.0,727,2621.875922
6.0,451,2623.191636
6.0,497,2624.714595
5.0,395,2625.873988
8.0,620,2627.731112
6.0,489,2629.128137
6.0,535,2630.750784
4.0,399,2631.888416
12.0,683,2634.077343
9.0,600,2635.940619
8.0,656,2637.89997
7.0,526,2639.457514
9.0,641,2641.39614
7.0,565,2716.830248
10.0,741,2719.184451
8.0,579,2720.952444
8.0,602,2722.845963
7.0,537,2724.4306
6.0,486,2725.880935
7.0,548,2727.530251
6.0,527,2729.071115
12.0,723,2731.214538
6.0,491,2732.679388
7.0,574,2734.412786
10.0,643,2736.388229
8.0,561,2738.082984
8.0,611,2739.90322
14.0,925,2742.876168
10.0,739,2818.863374
8.0,579,2820.57416
8.0,575,2822.333678
8.0,680,2824.381154
7.0,475,2825.846443
9.0,653,2827.888789
7.0,545,2829.507125
7.0,513,2831.072351
9.0,645,2833.079859
14.0,762,2835.418322
12.0,705,2837.571965
10.0,700,2839.676894
9.0,615,2841.570596
8.0,599,2843.323631
6.0,474,2844.730919
12.0,830,2921.28506
4.0,404,2922.498937
6.0,561,2924.13911
10.0,742,2926.37251
6.0,492,2927.821128
5.0,438,2929.066815
15.0,974,2932.132988
6.0,471,2933.560758
11.0,717,2935.759212
10.0,809,2938.271047
8.0,546,2939.877697
10.0,662,2941.90809
8.0,561,2943.618114
6.0,454,2944.975736
11.0,732,3021.034971
5.0,421,3022.220789
6.0,535,3023.810177
13.0,786,3026.199487
9.0,702,3028.348089
4.0,379,3029.430164
16.0,971,3032.404257
7.0,565,3034.013261
11.0,765,3036.394711
16.0,915,3039.254567
7.0,527,3040.874385
10.0,714,3043.078161
5.0,489,3044.485608
7.0,520,3046.040436
9.0,671,3048.111217
12.0,821,3124.705165
3.0,304,3125.510104
5.0,479,3126.939687
5.0,475,3128.314559
14.0,775,3130.687268
8.0,615,3132.489358
5.0,419,3133.708347
8.0,592,3135.495747
12.0,747,3137.88785
3.0,389,3138.944414
8.0,586,3140.655157
12.0,686,3142.691674
