#{"t_start": 1670943835.1349494, "env_id": "Breakout-v0"}
r,l,t
1.0,238,1.400626
1.0,262,2.198636
2.0,303,3.070626
3.0,360,4.267537
4.0,420,5.729537
0.0,191,6.291121
2.0,279,7.190185
0.0,207,7.706181
2.0,305,8.612184
4.0,394,9.807227
3.0,373,10.989515
0.0,189,11.510805
1.0,237,12.162809
4.0,458,13.603901
2.0,289,14.491925
1.0,271,15.237923
3.0,389,16.530172
0.0,190,17.028175
3.0,337,18.112174
2.0,299,19.004171
1.0,273,19.754431
4.0,410,21.216431
1.0,267,22.00643
0.0,188,22.50322
3.0,339,23.595219
3.0,382,24.819216
3.0,386,26.121222
3.0,373,27.260402
2.0,331,28.254402
1.0,273,29.022406
2.0,312,29.991059
1.0,270,30.751061
3.0,370,31.913054
1.0,260,32.701492
1.0,269,111.397444
1.0,273,112.16145
0.0,200,112.639445
1.0,262,113.34745
3.0,356,114.375448
4.0,420,115.621445
1.0,279,116.45945
4.0,383,117.637446
1.0,271,118.397448
4.0,407,119.679445
1.0,227,120.293447
4.0,423,121.593444
4.0,424,122.941444
4.0,440,124.297446
2.0,301,125.189446
0.0,204,125.699445
0.0,202,126.128014
0.0,190,126.632014
1.0,240,127.300014
0.0,190,127.820015
3.0,390,129.064016
4.0,399,130.318021
0.0,198,130.818018
2.0,305,131.722014
5.0,448,133.187247
2.0,320,134.093246
2.0,319,135.04325
1.0,261,135.777251
2.0,303,136.657248
0.0,212,137.147245
0.0,190,137.689245
7.0,436,139.061248
0.0,208,139.637246
2.0,298,140.473245
2.0,320,141.451246
2.0,305,142.381246
4.0,389,221.254575
0.0,210,221.774572
4.0,414,223.102579
3.0,398,224.330573
2.0,266,225.122579
6.0,537,226.764577
2.0,297,227.574577
5.0,491,229.092574
2.0,334,230.064575
5.0,426,231.430574
2.0,299,232.324572
2.0,296,233.28258
2.0,297,234.086576
3.0,360,235.152576
2.0,331,236.126575
5.0,485,237.570577
2.0,291,238.410573
0.0,191,238.850576
2.0,308,239.854574
4.0,428,241.186574
5.0,483,242.718576
2.0,261,243.486583
1.0,256,244.174575
1.0,252,244.856576
4.0,371,246.198293
4.0,456,247.656291
4.0,427,249.040294
1.0,266,249.80629
2.0,304,250.708292
4.0,420,329.432204
1.0,262,330.194202
2.0,273,331.030199
3.0,342,332.064205
5.0,452,333.532202
10.0,619,335.450199
10.0,612,337.356201
3.0,377,338.538202
3.0,367,339.5762
6.0,509,341.166203
6.0,574,342.952203
1.0,219,343.508201
2.0,307,344.304201
4.0,430,345.638202
2.0,309,346.4462
2.0,284,347.2762
2.0,310,348.1542
6.0,537,349.896203
1.0,241,350.520201
4.0,424,351.848201
3.0,328,352.788203
4.0,369,353.894201
2.0,316,354.8362
3.0,410,356.042201
10.0,592,357.952202
7.0,547,437.563023
3.0,354,438.521019
4.0,401,439.713019
3.0,341,440.787024
1.0,244,441.443019
3.0,365,442.527022
1.0,233,443.165032
3.0,368,444.24502
1.0,247,444.903023
6.0,531,446.585023
2.0,275,447.333026
5.0,474,448.781018
6.0,525,450.455416
1.0,242,451.133415
2.0,299,452.005414
0.0,203,452.487413
3.0,365,453.559412
4.0,394,454.728827
4.0,440,456.059121
2.0,279,456.811116
7.0,508,458.437117
4.0,409,459.653119
2.0,332,460.563115
5.0,474,462.061115
6.0,544,463.793116
5.0,448,465.153116
6.0,497,541.996637
5.0,434,543.322639
8.0,628,545.356636
1.0,246,545.936643
6.0,478,547.355166
6.0,476,548.771166
6.0,462,550.191164
2.0,302,551.08117
8.0,616,553.063165
2.0,318,553.981169
7.0,544,555.605507
2.0,290,556.445507
5.0,509,557.957504
6.0,532,559.589504
6.0,463,560.925507
4.0,367,561.945508
2.0,311,562.803506
5.0,464,564.207505
4.0,428,565.473503
0.0,200,565.929507
3.0,355,566.983507
2.0,297,567.787507
13.0,745,570.175513
3.0,379,646.888966
7.0,523,648.582962
7.0,593,650.378967
