#{"t_start": 1670943835.7415712, "env_id": "Breakout-v0"}
r,l,t
2.0,295,1.060001
1.0,257,1.871999
1.0,265,2.664
2.0,293,3.528908
1.0,269,4.316907
2.0,316,5.394498
1.0,277,6.19156
1.0,272,6.937558
2.0,269,7.787555
0.0,193,8.277557
2.0,284,9.071557
2.0,307,9.978608
3.0,372,11.168179
2.0,295,12.040178
3.0,385,13.173298
0.0,196,13.703299
1.0,240,14.381298
0.0,176,14.897298
1.0,225,15.461547
0.0,190,16.005548
1.0,261,16.773547
0.0,204,17.283549
2.0,322,18.253551
0.0,188,18.783549
1.0,259,19.531804
0.0,187,20.039805
2.0,288,20.931806
1.0,246,21.652555
0.0,193,22.202593
1.0,263,22.914598
0.0,177,23.380592
1.0,257,24.034592
0.0,203,24.560592
0.0,205,25.016592
4.0,439,26.411777
1.0,279,27.167777
0.0,211,27.701776
2.0,299,28.595777
0.0,185,29.090428
0.0,190,29.654428
3.0,348,30.772427
1.0,215,31.394426
3.0,357,32.552859
0.0,192,110.970822
2.0,301,111.894821
2.0,296,112.784822
3.0,372,113.856822
4.0,410,115.086823
0.0,196,115.574822
2.0,332,116.588823
3.0,329,117.540824
1.0,274,118.314823
0.0,179,118.796822
9.0,545,120.558822
1.0,243,121.166822
4.0,424,122.486824
3.0,412,123.730823
2.0,298,124.614821
3.0,377,125.767394
2.0,292,126.721391
0.0,193,127.19339
0.0,189,127.691396
5.0,466,129.135391
2.0,316,130.031391
3.0,353,131.089392
0.0,205,131.644622
4.0,436,133.008621
1.0,243,133.676623
1.0,249,134.374622
2.0,307,135.284624
1.0,275,136.022624
4.0,437,137.452623
3.0,365,138.576625
0.0,182,139.104621
1.0,238,139.782621
3.0,348,140.818622
2.0,322,141.800621
5.0,453,220.87395
2.0,334,221.895949
0.0,212,222.401953
1.0,253,223.133949
3.0,359,224.147951
1.0,248,224.875949
2.0,322,225.787949
4.0,419,227.07395
3.0,369,228.105949
1.0,255,228.841953
5.0,483,230.391954
1.0,240,231.06395
2.0,344,232.10195
0.0,204,232.615951
4.0,457,234.015953
1.0,235,234.62995
1.0,238,235.24995
6.0,573,237.089951
3.0,345,238.05395
0.0,170,238.499949
0.0,203,239.06995
5.0,455,240.501954
5.0,457,241.96995
3.0,358,243.093949
3.0,384,244.31395
0.0,172,244.901952
3.0,373,246.069668
3.0,370,247.115668
1.0,270,247.879669
4.0,407,249.247666
1.0,230,249.857667
0.0,194,250.357666
2.0,299,328.581578
5.0,491,330.121581
2.0,299,331.039578
1.0,268,331.785578
2.0,310,332.705577
6.0,464,334.077578
11.0,599,336.009577
2.0,333,336.941576
1.0,277,337.675577
6.0,500,339.311579
0.0,210,339.773579
3.0,360,340.821577
4.0,421,342.05958
6.0,534,343.765577
0.0,194,344.247579
4.0,378,345.419578
2.0,319,346.333577
4.0,405,347.585577
3.0,378,348.721578
5.0,458,350.209578
1.0,231,350.779577
9.0,714,353.063578
3.0,389,354.259577
3.0,392,355.407578
3.0,399,356.561582
1.0,277,357.245581
3.0,393,436.248397
0.0,211,436.740397
5.0,475,438.180396
2.0,294,438.990399
4.0,367,440.1164
5.0,467,441.706396
2.0,287,442.492397
2.0,324,443.390397
5.0,466,444.840396
0.0,195,445.310397
5.0,491,446.832398
1.0,263,447.532399
4.0,401,448.726397
11.0,596,450.63879
1.0,248,451.23879
3.0,367,452.356788
