#{"t_start": 1670943835.3349495, "env_id": "Breakout-v0"}
r,l,t
0.0,219,1.050621
1.0,274,1.844632
0.0,187,2.388621
1.0,266,3.128623
2.0,291,3.98953
0.0,210,4.519529
0.0,206,5.045535
0.0,188,5.56953
0.0,205,6.143119
1.0,270,6.872178
2.0,286,7.834179
2.0,290,8.664179
4.0,389,9.877229
0.0,213,10.42923
1.0,252,11.171712
3.0,330,12.236801
1.0,261,12.975669
1.0,281,13.711918
3.0,392,14.95592
3.0,378,16.162172
2.0,298,17.084173
3.0,359,18.218171
4.0,428,19.644425
0.0,197,20.210428
0.0,191,20.722425
2.0,320,21.702426
1.0,267,22.443215
3.0,366,23.601216
3.0,401,24.827216
1.0,257,25.579217
3.0,370,26.750398
2.0,278,27.612399
0.0,201,28.160398
2.0,283,28.9764
2.0,332,30.02305
2.0,297,30.90905
0.0,212,31.429049
2.0,296,32.31705
0.0,202,32.893484
2.0,296,111.739446
2.0,302,112.655444
4.0,451,114.011444
4.0,436,115.281444
3.0,373,116.543446
5.0,494,118.149445
1.0,263,118.877445
3.0,363,120.005448
1.0,231,120.639445
6.0,498,122.175445
2.0,285,122.997446
4.0,422,124.351445
2.0,307,125.269445
6.0,506,126.896013
2.0,282,127.766014
3.0,360,128.832012
1.0,263,129.608014
9.0,582,131.542011
4.0,428,132.843243
4.0,431,134.189245
2.0,284,135.043245
4.0,377,136.225244
2.0,313,137.159246
2.0,313,138.105244
0.0,192,138.571244
1.0,248,139.373245
0.0,214,139.923245
4.0,440,141.343245
6.0,527,220.724571
3.0,369,221.868572
2.0,296,222.762574
3.0,349,223.900573
2.0,301,224.784573
3.0,405,225.952572
3.0,348,226.916573
1.0,245,227.556572
3.0,383,228.656572
4.0,430,230.006573
4.0,431,231.298573
0.0,201,231.774571
0.0,197,232.262573
4.0,447,233.646571
4.0,405,234.864573
5.0,475,236.332572
1.0,279,237.032574
2.0,323,237.980573
5.0,438,239.512573
1.0,217,240.096571
3.0,383,241.214572
2.0,307,242.050575
2.0,327,242.990572
2.0,307,243.888572
0.0,203,244.414572
1.0,280,245.404572
2.0,294,246.27029
1.0,262,246.98029
1.0,269,247.682291
2.0,286,248.564288
0.0,207,249.066288
0.0,179,249.528289
5.0,442,250.954289
4.0,398,329.626201
3.0,361,330.6282
3.0,362,331.778199
0.0,193,332.316205
0.0,212,332.7902
2.0,311,333.616201
4.0,466,334.9682
2.0,309,335.7982
0.0,220,336.2882
3.0,343,337.256199
4.0,416,338.486201
1.0,247,339.1622
3.0,348,340.240201
5.0,471,341.680199
5.0,470,343.1582
2.0,277,343.8902
3.0,379,345.026202
5.0,455,346.370202
2.0,309,347.336199
1.0,274,348.050201
1.0,261,348.7202
4.0,411,349.924199
6.0,497,351.504202
3.0,339,352.442201
3.0,380,353.502202
3.0,373,354.6062
3.0,325,355.5162
3.0,362,356.538199
5.0,468,358.0162
1.0,237,436.443019
0.0,201,436.907017
5.0,481,438.403023
8.0,510,439.997018
2.0,298,440.901021
2.0,299,441.787018
6.0,549,443.547018
5.0,459,444.961019
3.0,366,446.005019
6.0,526,447.615018
3.0,346,448.669019
6.0,525,450.33541
5.0,474,451.845414
3.0,330,452.809412
6.0,503,454.418826
3.0,377,455.551116
7.0,586,457.377118
1.0,227,458.019115
5.0,497,459.593115
3.0,352,460.639117
5.0,507,462.213114
4.0,404,463.435114
4.0,408,464.625114
3.0,373,465.651117
5.0,453,542.364635
4.0,431,543.618634
5.0,463,545.046638
2.0,342,546.029163
6.0,529,547.669166
7.0,538,549.279164
6.0,554,551.033165
8.0,625,552.939163
5.0,507,554.451504
5.0,501,555.975503
2.0,272,556.719505
5.0,512,558.319504
3.0,370,559.331503
5.0,476,560.785508
3.0,379,561.933504
5.0,459,563.287504
2.0,326,564.231504
7.0,571,565.969504
3.0,327,566.935503
4.0,425,568.171503
3.0,337,569.123506
12.0,700,646.978963
3.0,367,648.038962
6.0,493,649.486962
5.0,436,650.748964
8.0,562,652.468961
5.0,454,653.874965
4.0,404,655.022962
7.0,547,656.636963
4.0,390,657.832963
5.0,475,659.296964
5.0,459,660.648966
5.0,452,661.966963
3.0,344,662.982965
4.0,394,664.150961
5.0,429,665.394963
7.0,547,667.135999
7.0,561,668.846
6.0,507,670.365998
3.0,363,671.401998
4.0,403,672.563998
2.0,313,673.383999
9.0,710,751.309514
3.0,340,752.327511
14.0,761,754.861775
10.0,596,756.659778
5.0,470,758.072707
7.0,569,759.77871
3.0,375,760.864765
7.0,580,762.621236
4.0,419,763.833236
7.0,588,765.641237
3.0,333,766.633237
8.0,604,768.39397
1.0,235,768.953471
6.0,513,770.552947
5.0,426,771.800945
6.0,473,773.262944
7.0,562,774.967764
7.0,532,776.505765
7.0,548,778.143765
9.0,645,855.465428
3.0,370,856.481427
5.0,416,857.665427
6.0,475,859.105428
0.0,203,859.58943
9.0,667,861.61343
5.0,415,862.855426
