#{"t_start": 1670989386.7515187, "env_id": "Breakout-v0"}
r,l,t
5.0,439,2.966001
2.0,273,3.903057
5.0,511,5.954672
3.0,356,7.260194
3.0,400,8.546712
1.0,260,9.369735
1.0,270,10.156731
2.0,276,11.052805
2.0,325,12.029802
0.0,197,12.582803
0.0,201,13.150799
3.0,322,14.280822
2.0,292,15.202889
1.0,277,16.04088
4.0,400,17.325947
2.0,317,18.305131
0.0,181,18.830497
0.0,194,19.34505
1.0,261,20.066052
2.0,323,21.127552
0.0,194,21.641066
1.0,233,22.328078
1.0,239,23.111103
9.0,618,25.256614
3.0,354,26.393682
0.0,204,26.9002
4.0,426,28.383199
1.0,270,29.138221
1.0,268,29.919725
0.0,190,30.510731
1.0,221,31.136236
6.0,326,32.247237
3.0,370,33.489236
1.0,262,34.179233
2.0,300,35.071764
0.0,173,241.490552
1.0,249,242.223083
7.0,432,243.690108
6.0,538,245.444108
5.0,477,246.986143
2.0,325,247.947145
3.0,370,249.056164
2.0,279,249.980165
4.0,442,251.54321
1.0,225,252.17521
6.0,509,253.902209
3.0,352,255.125215
4.0,425,256.577848
0.0,186,257.143844
3.0,354,258.24913
1.0,249,259.04131
1.0,261,259.842307
6.0,502,261.557394
3.0,389,262.826461
2.0,329,263.805457
1.0,258,264.601457
7.0,577,266.640525
1.0,240,267.315524
5.0,463,268.828525
0.0,191,269.385525
2.0,317,270.442523
1.0,264,271.256525
1.0,253,272.043545
1.0,223,272.742544
0.0,202,273.301587
2.0,306,485.531348
3.0,332,486.566353
4.0,433,487.953351
5.0,474,489.457351
4.0,403,490.68935
6.0,566,492.586351
2.0,312,493.434351
0.0,182,493.937349
1.0,268,494.668351
1.0,258,495.39335
8.0,605,497.382368
7.0,557,499.209877
1.0,286,500.025401
1.0,230,500.618391
5.0,473,502.146049
2.0,302,503.081266
3.0,371,504.20334
3.0,335,505.186457
4.0,414,506.497487
4.0,374,507.66185
1.0,219,508.32485
0.0,190,508.820849
3.0,363,509.95185
1.0,273,510.683849
2.0,325,511.699849
3.0,346,512.776851
4.0,421,514.145849
5.0,509,515.719851
1.0,253,516.456849
4.0,427,720.733533
5.0,462,722.125535
1.0,234,722.757535
5.0,493,724.254536
8.0,475,725.802535
4.0,411,727.071537
5.0,507,728.574535
4.0,394,729.777533
5.0,458,731.170534
0.0,181,731.633534
3.0,383,732.726538
3.0,362,733.799533
5.0,438,735.115534
3.0,367,736.220533
2.0,305,737.055532
4.0,413,738.367536
3.0,377,739.487537
5.0,494,741.061537
6.0,503,742.653534
2.0,292,743.483536
2.0,323,744.427535
5.0,507,746.021535
3.0,367,747.112532
5.0,440,748.428534
3.0,351,749.460533
6.0,482,957.788046
8.0,600,959.757363
2.0,300,960.56436
3.0,314,961.468359
4.0,403,962.74936
5.0,461,964.124366
4.0,379,965.276362
0.0,201,965.722363
5.0,487,967.172361
0.0,201,967.735362
11.0,715,970.081361
3.0,345,971.121361
7.0,514,972.792362
6.0,553,974.587361
2.0,296,975.496362
0.0,218,976.055361
5.0,454,977.45436
5.0,411,978.792363
3.0,341,979.77236
4.0,393,980.929364
7.0,610,982.84439
6.0,540,984.542391
4.0,388,985.70739
6.0,515,1193.164545
5.0,457,1194.596058
6.0,500,1196.111059
7.0,551,1197.896059
7.0,590,1199.711061
5.0,461,1201.154055
6.0,485,1202.609056
2.0,267,1203.326058
5.0,468,1204.721056
5.0,425,1206.001056
6.0,498,1207.550056
3.0,308,1208.418056
5.0,411,1209.686057
5.0,448,1211.097059
6.0,490,1212.581055
2.0,316,1213.547058
5.0,436,1214.874056
5.0,463,1216.29506
1.0,230,1216.934058
4.0,410,1218.105058
7.0,500,1219.660055
9.0,656,1221.809057
5.0,486,1430.548809
6.0,485,1431.990808
8.0,571,1433.861808
5.0,432,1435.269806
5.0,406,1436.484818
5.0,408,1437.760805
12.0,653,1439.821348
7.0,555,1441.526349
4.0,406,1442.731872
3.0,308,1443.65987
5.0,482,1445.095869
3.0,345,1446.114872
4.0,353,1447.193869
4.0,463,1448.606869
6.0,449,1449.990867
6.0,512,1451.562867
6.0,537,1453.257868
11.0,730,1455.596867
8.0,573,1457.474868
3.0,360,1458.48787
5.0,446,1660.2322
10.0,548,1661.938201
5.0,409,1663.2352
5.0,518,1664.828201
7.0,571,1666.633707
5.0,459,1668.056754
11.0,584,1669.909754
4.0,386,1671.039752
6.0,523,1672.702755
1.0,265,1673.396753
7.0,552,1675.208753
8.0,575,1677.038753
2.0,276,1678.398329
2.0,284,1679.452843
4.0,423,1682.165075
6.0,495,1684.046624
4.0,403,1685.679763
6.0,500,1687.414016
3.0,338,1688.441018
7.0,514,1690.372132
5.0,470,1694.969781
4.0,373,1700.822531
7.0,534,1922.884589
7.0,510,1924.515607
4.0,376,1925.667118
8.0,420,1926.990116
5.0,409,1928.253139
9.0,689,1930.45214
4.0,410,1931.807139
8.0,481,1933.30714
3.0,340,1934.275653
9.0,699,1936.514169
9.0,605,1938.425679
8.0,630,1940.429221
4.0,387,1941.556729
7.0,544,1943.236244
5.0,438,1944.587059
7.0,597,1946.420281
7.0,513,1947.958333
9.0,655,1950.073402
8.0,584,2158.606948
7.0,585,2160.453949
6.0,483,2161.873949
2.0,283,2162.65695
7.0,566,2164.44995
4.0,411,2165.68895
7.0,564,2167.521947
3.0,311,2168.38395
4.0,404,2169.586954
5.0,437,2170.936981
6.0,502,2172.486974
