#{"t_start": 1670989387.191519, "env_id": "Breakout-v0"}
r,l,t
7.0,575,2863.413957
8.0,604,2865.305472
13.0,630,2867.437521
7.0,510,2869.111037
6.0,538,2870.802037
5.0,457,2872.260036
7.0,553,2874.132652
11.0,592,2876.123653
5.0,446,2877.596654
4.0,450,2878.966654
7.0,563,2880.872195
13.0,759,2883.233706
10.0,682,2885.571222
4.0,386,2886.720222
5.0,498,2888.214221
1.0,242,2888.826223
7.0,546,2890.536222
6.0,473,3089.64482
13.0,900,3092.45282
6.0,473,3093.90282
8.0,547,3095.600819
6.0,558,3097.286821
7.0,533,3098.914821
10.0,702,3101.096821
6.0,483,3102.510822
8.0,564,3104.208822
9.0,569,3105.99482
8.0,601,3107.788821
7.0,500,3109.338819
2.0,319,3110.26282
4.0,399,3111.432822
8.0,607,3113.278821
7.0,544,3114.934819
4.0,394,3116.08482
5.0,495,3314.098554
10.0,661,3316.192554
7.0,566,3317.900557
8.0,605,3319.728553
10.0,700,3321.894555
6.0,508,3323.434553
7.0,368,3324.522553
7.0,613,3326.368554
8.0,632,3328.300555
16.0,831,3331.002555
7.0,534,3332.610554
10.0,698,3334.786554
7.0,518,3336.380554
4.0,405,3337.572555
3.0,342,3338.562553
7.0,535,3340.248561
8.0,684,3530.072653
3.0,329,3530.972347
7.0,541,3532.670006
4.0,395,3533.774005
8.0,584,3535.642006
7.0,521,3537.274005
4.0,401,3538.460006
7.0,510,3539.958004
5.0,432,3541.286005
7.0,563,3543.004006
6.0,493,3544.488007
7.0,591,3546.304006
5.0,481,3547.752004
10.0,698,3549.958004
15.0,848,3552.580005
3.0,303,3553.480004
7.0,519,3555.020004
8.0,567,3556.830007
5.0,463,3558.160007
9.0,646,3748.426878
6.0,489,3749.912877
4.0,451,3751.220876
9.0,586,3752.996878
8.0,614,3754.898876
3.0,305,3755.764877
4.0,403,3756.886878
10.0,711,3759.040876
4.0,381,3760.160877
6.0,492,3761.624877
10.0,722,3763.890879
9.0,645,3765.856879
8.0,635,3767.840876
13.0,699,3770.024876
9.0,666,3772.124879
7.0,570,3773.924879
9.0,618,3963.146622
6.0,447,3964.554623
6.0,544,3966.158626
8.0,636,3968.060625
8.0,624,3969.916623
5.0,442,3971.254624
8.0,588,3973.054624
8.0,704,3975.188625
4.0,413,3976.420624
8.0,555,3978.094623
12.0,638,3980.134028
8.0,555,3981.800027
4.0,364,3982.872028
6.0,539,3984.412029
3.0,332,3985.318027
5.0,457,3986.670027
9.0,671,3988.69403
6.0,473,3990.080026
10.0,708,4183.856423
7.0,514,4185.484422
3.0,348,4186.424422
12.0,866,4189.136422
3.0,352,4190.08642
8.0,582,4191.84042
3.0,327,4192.764423
14.0,790,4195.244421
11.0,706,4197.442421
8.0,607,4199.286422
15.0,810,4201.738421
6.0,475,4203.126421
5.0,469,4204.460422
6.0,452,4205.798421
6.0,491,4207.312424
12.0,841,4209.958421
6.0,443,4397.13284
5.0,448,4398.400839
6.0,500,4399.882842
11.0,616,4401.762839
5.0,458,4403.054842
6.0,462,4404.482841
9.0,664,4406.536839
15.0,716,4408.78484
3.0,342,4409.732841
6.0,533,4411.340839
9.0,642,4413.286842
6.0,479,4414.79084
6.0,536,4416.400839
5.0,425,4417.65084
4.0,412,4418.822841
3.0,331,4419.784841
4.0,402,4420.900839
3.0,338,4421.802839
9.0,620,4423.758841
9.0,523,4611.062934
11.0,801,4613.614934
9.0,682,4615.684636
12.0,615,4617.642637
5.0,409,4618.852635
11.0,863,4621.578635
12.0,832,4624.198636
7.0,560,4625.866634
5.0,456,4627.214634
8.0,606,4629.098634
11.0,691,4631.278635
6.0,483,4632.734636
4.0,407,4633.91882
5.0,465,4635.272825
18.0,822,4637.918822
7.0,499,4825.804895
6.0,525,4827.390897
11.0,696,4829.510895
5.0,474,4830.940897
9.0,627,4832.832897
11.0,754,4835.126895
8.0,562,4836.826894
3.0,312,4837.662895
14.0,722,4839.812897
3.0,331,4840.758895
7.0,525,4842.372897
10.0,708,4844.504896
10.0,707,4846.668895
3.0,377,4847.686898
3.0,331,4848.604896
5.0,499,4850.120896
3.0,372,4851.178894
10.0,667,4853.298897
7.0,642,5043.694226
9.0,667,5045.744228
6.0,477,5047.110226
9.0,604,5049.013725
4.0,372,5050.084486
3.0,315,5050.962487
7.0,544,5052.642487
9.0,683,5054.692488
6.0,534,5056.280489
7.0,517,5057.884485
6.0,522,5059.492487
4.0,412,5060.658488
8.0,528,5062.320488
7.0,561,5063.968487
7.0,571,5065.656486
9.0,597,5067.504487
12.0,662,5069.528929
3.0,347,5255.454458
8.0,644,5257.458456
9.0,653,5259.476457
10.0,672,5261.51046
