#{"t_start": 1670989387.4185207, "env_id": "Breakout-v0"}
r,l,t
2.0,284,1.611999
0.0,185,2.147998
2.0,280,3.132051
1.0,258,3.933081
1.0,272,4.873669
0.0,201,5.44567
0.0,195,6.048182
1.0,233,6.772182
2.0,319,7.778202
1.0,279,8.610728
0.0,185,9.101728
3.0,378,10.438799
3.0,379,11.542796
1.0,254,12.398799
1.0,237,13.038796
0.0,187,13.585819
0.0,200,14.130878
0.0,212,14.716878
2.0,279,15.608879
3.0,340,16.772934
0.0,205,17.303931
2.0,310,18.324532
1.0,262,19.091046
2.0,336,20.131044
2.0,289,21.12806
0.0,182,21.629078
0.0,214,22.2051
1.0,231,22.845608
3.0,343,23.929608
4.0,399,25.162678
0.0,186,25.644677
2.0,296,26.622194
2.0,305,27.575194
3.0,371,28.753215
0.0,192,29.322726
4.0,458,30.883232
0.0,202,31.397233
3.0,334,32.476233
1.0,250,33.229231
2.0,291,34.091744
2.0,297,240.993565
2.0,305,241.897079
0.0,201,242.415078
1.0,262,243.189103
4.0,398,244.393102
0.0,196,244.881102
2.0,311,245.823137
1.0,227,246.488135
1.0,247,247.130137
2.0,295,248.015162
2.0,270,248.85116
2.0,296,249.749673
0.0,217,250.320207
4.0,422,251.711206
2.0,305,252.618209
2.0,286,253.460206
1.0,279,254.273207
1.0,267,255.051227
2.0,314,256.082839
2.0,337,257.11404
0.0,208,257.650158
1.0,258,258.400303
2.0,324,259.365304
1.0,255,260.019304
3.0,353,261.172386
1.0,271,261.918414
2.0,293,262.817454
3.0,373,264.027454
3.0,326,265.079519
7.0,405,266.464521
3.0,337,267.522521
2.0,312,268.456523
1.0,262,269.393523
3.0,328,270.485519
2.0,305,271.486542
3.0,358,272.725585
0.0,197,273.260587
5.0,502,486.189348
3.0,368,487.366349
0.0,195,487.861348
4.0,404,489.127348
4.0,399,490.343348
2.0,288,491.094346
5.0,481,492.668347
3.0,352,493.808349
4.0,422,495.174347
5.0,426,496.475364
1.0,268,497.210366
4.0,412,498.424874
0.0,207,498.977875
5.0,459,500.469388
3.0,372,501.694101
0.0,187,502.178261
1.0,235,502.870308
2.0,315,503.776428
3.0,376,504.884486
4.0,420,506.213679
0.0,189,506.752794
1.0,261,507.557846
0.0,197,508.085845
4.0,363,509.216845
3.0,362,510.358845
0.0,200,510.875845
4.0,448,512.322847
4.0,381,513.447845
5.0,428,514.812846
0.0,186,515.348845
5.0,449,719.750531
6.0,497,721.307531
5.0,497,722.90953
2.0,332,723.812531
2.0,271,724.608531
7.0,600,726.591531
5.0,456,727.943532
0.0,201,728.416533
4.0,429,729.679531
4.0,390,730.87653
7.0,539,732.595531
5.0,431,733.887532
6.0,490,735.45253
3.0,368,736.510531
3.0,358,737.529531
3.0,342,738.530531
6.0,527,740.148532
6.0,536,741.885531
3.0,395,743.073531
2.0,310,743.919531
2.0,299,744.82153
3.0,381,745.93053
5.0,425,747.239532
3.0,343,748.32553
1.0,239,748.952532
3.0,369,956.878043
2.0,302,957.690196
2.0,290,958.475329
7.0,571,960.306361
6.0,501,961.905358
5.0,521,963.528358
8.0,545,965.340358
6.0,522,966.939358
2.0,297,967.800357
2.0,290,968.60236
3.0,318,969.491359
3.0,362,970.522357
9.0,484,972.06536
2.0,292,972.922357
3.0,351,973.98336
5.0,438,975.48936
3.0,354,976.455357
4.0,375,977.57736
2.0,295,978.429359
6.0,511,980.013357
7.0,585,981.914358
2.0,316,982.828386
3.0,315,983.711386
5.0,481,985.218386
7.0,554,1192.791545
5.0,414,1194.106054
6.0,449,1195.482053
4.0,386,1196.619052
4.0,410,1197.833053
6.0,466,1199.263052
3.0,354,1200.329055
7.0,508,1201.863053
6.0,561,1203.650052
8.0,564,1205.481054
2.0,281,1206.237052
6.0,467,1207.655054
6.0,477,1209.220053
7.0,594,1211.056052
6.0,485,1212.591053
7.0,533,1214.306052
5.0,444,1215.666052
11.0,753,1218.125055
4.0,409,1219.334056
7.0,537,1221.051052
3.0,357,1429.347802
5.0,414,1430.635803
7.0,547,1432.316804
4.0,418,1433.658803
6.0,479,1435.216802
2.0,295,1436.028804
7.0,588,1437.862804
4.0,372,1438.995348
7.0,558,1440.745346
2.0,280,1441.529349
9.0,636,1443.627866
6.0,481,1445.134866
2.0,270,1445.866865
6.0,549,1447.504867
6.0,500,1449.041867
4.0,379,1450.143865
8.0,652,1452.260867
4.0,378,1453.400866
2.0,293,1454.205865
6.0,531,1455.817866
5.0,482,1457.295865
5.0,424,1659.032198
5.0,458,1660.410196
4.0,386,1661.558197
4.0,394,1662.7232
6.0,480,1664.201197
7.0,552,1665.945703
3.0,334,1666.959749
7.0,560,1668.716749
3.0,318,1669.679748
5.0,435,1671.049748
9.0,649,1673.117749
6.0,476,1674.60075
6.0,535,1676.20375
8.0,599,1679.081838
9.0,617,1682.777105
3.0,330,1683.904727
2.0,280,1685.126759
7.0,510,1686.977015
3.0,331,1688.025016
7.0,540,1690.114646
6.0,531,1695.16236
4.0,399,1920.98704
1.0,239,1921.570583
2.0,292,1922.377586
7.0,583,1924.221114
4.0,397,1925.434116
7.0,553,1927.184137
8.0,604,1929.064137
12.0,629,1931.246136
3.0,328,1932.209138
8.0,614,1934.172651
3.0,333,1935.120162
8.0,568,1936.840162
7.0,557,1938.61818
6.0,474,1940.107728
4.0,408,1941.368729
6.0,516,1942.971755
7.0,502,1944.549253
7.0,535,1946.261331
6.0,465,1947.675332
4.0,379,1948.826368
9.0,663,2157.655945
3.0,385,2158.784946
8.0,562,2160.573946
3.0,335,2161.655945
8.0,611,2163.596946
6.0,505,2165.268945
10.0,801,2167.987946
6.0,500,2169.484946
2.0,330,2170.472972
4.0,428,2171.794971
3.0,341,2172.770485
8.0,630,2174.731509
8.0,607,2176.604099
3.0,335,2177.5351
12.0,865,2180.316614
3.0,331,2181.316633
3.0,311,2182.200632
5.0,458,2183.603634
6.0,546,2185.367181
1.0,219,2185.938181
5.0,426,2390.664023
7.0,571,2392.445561
8.0,639,2394.491618
11.0,563,2396.325226
5.0,482,2397.847224
7.0,534,2399.50247
5.0,401,2400.780564
5.0,466,2402.194587
8.0,654,2404.211121
4.0,403,2405.437673
4.0,410,2406.654694
9.0,607,2408.590762
3.0,379,2409.669271
12.0,675,2411.78683
8.0,629,2413.797831
8.0,610,2415.760831
7.0,547,2417.420361
11.0,596,2419.275363
8.0,630,2624.128662
5.0,472,2625.60166
6.0,532,2627.229703
4.0,380,2628.44775
5.0,389,2629.582752
7.0,601,2631.422273
8.0,605,2633.336273
6.0,461,2634.761272
6.0,452,2636.180272
5.0,453,2637.533273
6.0,467,2638.981272
4.0,343,2639.981273
8.0,607,2641.813374
5.0,459,2643.261421
6.0,501,2644.785963
9.0,649,2646.800992
3.0,313,2647.667989
6.0,492,2649.21699
6.0,481,2650.735011
10.0,672,2861.367957
7.0,625,2863.351955
8.0,627,2865.304468
3.0,349,2866.332444
9.0,623,2868.375035
7.0,537,2870.077034
4.0,413,2871.383035
5.0,461,2872.826036
7.0,545,2874.546652
8.0,602,2876.685656
8.0,640,2878.84265
8.0,606,2880.909195
6.0,485,2882.343196
8.0,605,2884.241708
8.0,630,2886.33022
10.0,622,2888.269222
8.0,591,2890.156219
10.0,651,3089.89182
2.0,299,3090.69182
9.0,700,3092.805819
4.0,412,3094.011818
6.0,523,3095.621819
9.0,668,3097.635818
6.0,502,3099.173819
7.0,518,3100.733819
5.0,445,3102.05782
5.0,421,3103.291818
6.0,494,3104.759818
6.0,565,3106.42382
7.0,521,3107.997818
6.0,473,3109.393819
9.0,590,3111.271818
9.0,724,3113.467818
8.0,573,3115.279819
9.0,678,3313.925553
8.0,635,3315.827553
15.0,802,3318.441555
8.0,584,3320.137552
8.0,611,3322.065552
4.0,431,3323.363553
7.0,572,3325.129557
5.0,447,3326.445554
9.0,624,3328.323552
12.0,629,3330.219555
14.0,862,3332.875554
8.0,576,3334.629557
5.0,461,3336.031554
10.0,700,3338.181554
7.0,538,3339.825555
7.0,576,3341.529552
6.0,501,3530.836347
10.0,704,3533.033004
4.0,446,3534.365003
9.0,671,3536.473002
7.0,506,3538.013003
5.0,454,3539.371005
3.0,355,3540.413002
8.0,631,3542.371003
9.0,692,3544.497004
5.0,430,3545.711005
3.0,325,3546.581007
8.0,597,3548.409003
5.0,422,3549.559005
11.0,757,3551.935005
10.0,744,3554.261005
2.0,270,3554.981003
7.0,569,3556.715004
6.0,489,3746.315876
8.0,614,3748.165877
5.0,457,3749.491875
7.0,563,3751.189874
3.0,350,3752.113877
15.0,784,3754.567878
16.0,675,3756.699875
7.0,540,3758.371875
5.0,450,3759.687875
8.0,585,3761.487875
7.0,590,3763.183877
8.0,627,3765.109876
9.0,639,3767.023876
9.0,655,3769.049875
11.0,777,3771.435876
9.0,626,3773.491875
15.0,777,3963.371624
7.0,576,3965.109622
5.0,448,3966.409621
9.0,652,3968.349621
7.0,508,3969.847622
10.0,696,3971.941621
8.0,587,3973.705622
6.0,491,3975.203624
4.0,366,3976.311622
11.0,803,3978.810327
4.0,356,3979.847025
6.0,503,3981.361024
4.0,409,3982.545025
9.0,726,3984.761024
8.0,599,3986.613024
9.0,599,3988.409026
5.0,445,3989.727026
6.0,477,4182.757419
8.0,621,4184.681419
7.0,579,4186.445422
14.0,771,4188.82142
6.0,498,4190.363419
9.0,652,4192.351421
11.0,734,4194.685419
10.0,533,4196.267419
5.0,453,4197.553422
4.0,454,4198.83742
11.0,778,4201.167421
9.0,690,4203.299422
8.0,624,4205.169419
15.0,775,4207.677419
11.0,746,4210.015421
9.0,671,4397.903841
5.0,441,4399.237839
4.0,422,4400.453837
5.0,415,4401.731839
9.0,683,4403.837838
5.0,425,4405.097837
6.0,466,4406.465838
9.0,658,4408.451838
6.0,520,4410.009838
9.0,624,4411.887837
5.0,454,4413.247838
6.0,486,4414.761838
5.0,431,4416.039838
7.0,514,4417.677838
3.0,369,4418.699838
6.0,501,4420.183837
7.0,574,4421.959839
7.0,510,4423.43984
7.0,557,4610.895933
7.0,514,4612.469932
8.0,601,4614.339877
6.0,528,4615.931636
5.0,525,4617.511634
8.0,577,4619.241634
5.0,407,4620.445634
6.0,443,4621.741633
8.0,643,4623.679635
7.0,523,4625.259631
6.0,510,4626.791634
8.0,619,4628.639633
5.0,424,4629.875632
5.0,401,4631.015633
8.0,570,4632.772075
9.0,711,4634.983822
4.0,414,4636.163819
4.0,391,4637.269819
9.0,616,4825.649893
8.0,648,4827.673895
8.0,580,4829.403893
7.0,502,4830.927892
8.0,583,4832.693896
9.0,666,4834.701893
10.0,767,4837.085893
7.0,576,4838.785893
12.0,804,4841.347893
7.0,532,4842.937894
7.0,524,4844.541895
7.0,616,4846.357895
8.0,598,4848.227893
3.0,382,4849.289895
11.0,641,4851.289893
3.0,365,4852.387894
5.0,407,5041.979223
6.0,460,5043.329223
10.0,753,5045.701224
8.0,595,5047.539224
10.0,689,5049.687484
5.0,402,5050.881484
7.0,585,5052.713486
9.0,642,5054.657484
4.0,402,5055.783484
10.0,570,5057.477485
4.0,405,5058.667485
7.0,607,5060.475485
7.0,521,5062.021484
16.0,898,5064.793485
6.0,479,5066.199485
7.0,611,5068.005188
6.0,496,5069.461928
9.0,614,5256.249455
11.0,770,5258.647455
11.0,735,5260.895456
9.0,622,5262.839456
7.0,559,5264.487458
4.0,426,5265.739455
14.0,786,5268.163456
10.0,709,5270.293456
8.0,614,5272.153458
4.0,388,5273.255456
13.0,783,5275.673455
4.0,412,5276.917456
9.0,517,5278.473456
7.0,566,5280.215455
9.0,632,5282.197455
8.0,571,5469.493767
6.0,516,5471.139767
0.0,177,5471.565768
11.0,730,5473.829767
5.0,462,5475.211766
10.0,658,5477.275768
4.0,396,5478.473767
10.0,755,5480.771767
5.0,484,5482.207767
9.0,652,5484.193767
4.0,377,5485.201767
10.0,642,5487.189769
6.0,509,5488.667768
10.0,738,5490.949769
3.0,304,5491.795769
9.0,671,5493.863769
6.0,496,5495.309769
4.0,414,5496.435767
7.0,545,5683.007444
7.0,581,5684.853446
14.0,729,5687.165445
4.0,388,5688.269447
9.0,666,5690.301443
9.0,651,5692.339445
5.0,439,5693.621444
8.0,621,5695.493446
10.0,702,5697.643445
10.0,735,5699.875444
5.0,442,5701.169447
12.0,680,5703.253444
8.0,545,5704.853445
5.0,455,5706.223445
11.0,762,5708.509443
6.0,494,5709.993443
8.0,590,5896.84382
9.0,650,5898.801822
8.0,596,5900.659822
9.0,684,5902.759822
8.0,602,5904.663821
1.0,228,5905.271821
9.0,679,5907.38382
14.0,798,5909.827821
5.0,456,5911.15982
12.0,741,5913.51182
5.0,450,5914.76182
7.0,556,5916.513821
8.0,538,5918.099822
15.0,971,5921.119821
9.0,618,5923.01782
5.0,493,6109.358348
16.0,831,6111.920347
9.0,623,6113.86835
5.0,473,6115.266348
7.0,533,6116.828348
6.0,521,6118.348349
7.0,535,6119.938349
4.0,337,6120.922349
7.0,544,6122.560349
10.0,632,6124.546347
5.0,450,6125.842349
15.0,809,6128.404349
6.0,531,6129.950348
6.0,501,6131.46435
5.0,494,6132.926349
6.0,459,6134.302348
7.0,578,6136.018348
9.0,604,6324.8601
8.0,597,6326.676099
9.0,594,6328.498097
8.0,654,6330.480096
5.0,416,6331.664097
18.0,932,6334.5301
2.0,288,6335.300097
9.0,698,6337.472097
8.0,599,6339.304097
5.0,462,6340.628096
7.0,556,6342.302098
7.0,532,6343.846097
6.0,564,6345.526098
10.0,714,6347.702096
3.0,307,6348.552098
5.0,438,6349.810097
11.0,775,6538.753461
6.0,488,6540.257461
7.0,568,6541.947464
2.0,284,6542.771461
6.0,537,6544.401462
8.0,600,6546.149461
8.0,640,6548.09146
10.0,729,6550.323465
12.0,678,6552.335462
5.0,489,6553.797462
14.0,731,6556.037463
7.0,552,6557.685461
6.0,488,6559.117461
4.0,412,6560.399463
9.0,644,6562.287464
5.0,418,6563.541461
8.0,612,6565.389461
7.0,599,6753.821393
14.0,738,6756.181394
7.0,526,6757.811394
8.0,644,6759.857397
5.0,453,6761.161394
10.0,662,6763.215394
6.0,471,6764.619396
7.0,580,6766.359393
11.0,734,6768.607395
7.0,534,6770.193395
6.0,519,6771.715394
6.0,471,6773.037394
9.0,615,6774.937395
3.0,365,6775.933394
7.0,571,6777.595397
10.0,707,6779.771396
6.0,530,6781.357397
7.0,616,6976.592118
6.0,464,6978.008118
9.0,646,6980.010117
5.0,472,6981.342119
7.0,545,6982.94812
4.0,387,6984.120118
14.0,774,6986.530118
6.0,530,6988.052118
15.0,735,6990.392119
9.0,732,6992.74812
7.0,572,6994.456119
10.0,649,6996.470118
7.0,511,6997.986121
8.0,578,6999.770119
8.0,599,7001.594117
7.0,576,7187.339103
8.0,587,7189.177104
1.0,249,7189.853104
9.0,652,7191.784447
9.0,686,7193.881142
12.0,822,7196.453141
6.0,552,7198.17114
3.0,336,7199.109142
8.0,630,7200.981143
16.0,888,7203.851142
10.0,715,7206.053141
6.0,493,7207.545142
7.0,583,7209.327144
7.0,535,7210.95714
9.0,656,7212.923141
7.0,512,7214.477141
6.0,520,7400.321499
6.0,520,7401.907499
8.0,585,7403.667499
18.0,807,7406.187499
9.0,655,7408.239501
14.0,765,7410.617501
6.0,511,7412.061076
11.0,758,7414.443075
5.0,489,7415.863075
9.0,661,7417.963075
9.0,596,7419.743075
11.0,642,7421.697074
9.0,659,7423.753075
9.0,647,7425.725077
13.0,827,7612.408106
8.0,566,7614.124107
2.0,317,7615.032106
7.0,520,7616.560105
9.0,602,7618.398108
7.0,561,7620.106108
10.0,694,7622.23644
4.0,364,7623.22844
4.0,363,7624.246441
7.0,586,7625.968441
13.0,908,7628.86844
11.0,624,7630.756441
12.0,775,7633.190439
7.0,549,7634.880442
7.0,534,7636.48244
5.0,522,7638.002439
6.0,456,7639.350439
10.0,745,7832.078842
7.0,526,7833.632842
11.0,763,7836.014845
8.0,619,7837.864843
14.0,758,7840.234842
8.0,650,7842.214843
11.0,585,7843.964844
11.0,745,7846.298845
5.0,421,7847.484842
10.0,639,7849.464843
7.0,540,7851.094842
10.0,704,7853.248843
6.0,482,7854.628843
6.0,512,7856.174845
7.0,563,7857.784844
8.0,583,8043.371606
6.0,501,8044.841606
15.0,719,8047.079607
3.0,348,8048.013607
18.0,1038,8051.339607
12.0,800,8053.749605
