#{"t_start": 1670989386.9745214, "env_id": "Breakout-v0"}
r,l,t
0.0,219,1.695999
2.0,319,2.780001
3.0,389,4.177051
0.0,182,4.817639
1.0,247,5.64467
0.0,207,6.245667
0.0,201,6.854181
2.0,314,7.83169
0.0,196,8.38071
1.0,245,9.023728
1.0,253,9.816727
2.0,308,10.7508
2.0,342,11.768798
1.0,262,12.516799
3.0,324,13.632816
0.0,184,14.201815
2.0,319,15.285878
2.0,294,16.180878
0.0,206,16.706877
1.0,239,17.437931
2.0,339,18.481391
5.0,451,20.072041
1.0,245,20.833548
2.0,303,21.806061
0.0,199,22.390074
3.0,363,23.53161
1.0,267,24.257605
2.0,296,25.196651
4.0,424,26.502677
0.0,176,26.986195
1.0,265,27.760192
1.0,268,28.531707
4.0,408,29.904726
1.0,221,30.537232
2.0,325,31.491233
1.0,263,32.24123
3.0,408,33.571233
6.0,503,241.298564
3.0,351,242.423078
2.0,316,243.357584
0.0,208,243.906101
8.0,510,245.507102
3.0,330,246.487136
4.0,417,247.879137
3.0,374,249.021161
0.0,209,249.587161
1.0,238,250.265674
1.0,263,251.014205
2.0,309,251.895207
1.0,215,252.582206
4.0,383,253.747204
0.0,206,254.291206
0.0,203,254.850204
0.0,184,255.363227
1.0,263,256.11784
0.0,205,256.680838
2.0,286,257.492014
1.0,247,258.271211
2.0,329,259.249303
3.0,353,260.386305
1.0,245,261.123387
0.0,194,261.658387
3.0,388,262.905456
1.0,255,263.637454
0.0,210,264.174452
2.0,295,265.064454
0.0,205,265.55752
2.0,313,266.489519
2.0,294,267.38852
2.0,311,268.30452
3.0,339,269.47152
2.0,305,270.52452
0.0,193,271.076518
0.0,203,271.55354
1.0,271,272.435541
2.0,325,273.418584
2.0,282,485.530347
1.0,221,486.150347
5.0,460,487.598346
5.0,478,489.077346
4.0,379,490.217348
4.0,411,491.502348
0.0,194,492.028346
5.0,500,493.626347
2.0,333,494.627347
6.0,481,496.164366
4.0,400,497.421364
3.0,335,498.407365
3.0,391,499.614873
4.0,452,501.041622
0.0,184,501.536962
5.0,428,502.944263
4.0,397,504.191427
4.0,420,505.472483
4.0,423,506.814679
2.0,329,507.834846
5.0,500,509.487848
3.0,329,510.512845
1.0,222,511.138845
3.0,350,512.268847
7.0,422,513.641845
2.0,312,514.536847
4.0,421,515.880844
5.0,474,720.34453
3.0,372,721.41553
4.0,418,722.653532
1.0,233,723.256529
8.0,564,725.02553
2.0,288,725.845533
2.0,322,726.746532
3.0,303,727.63653
8.0,605,729.591531
5.0,496,731.086531
6.0,475,732.646531
1.0,258,733.31853
3.0,351,734.391531
3.0,372,735.424532
2.0,313,736.379531
3.0,358,737.46953
6.0,502,739.077531
1.0,241,739.678531
2.0,336,740.622535
2.0,288,741.417531
0.0,202,741.87653
4.0,412,743.09353
1.0,262,743.785531
9.0,596,745.69053
3.0,334,746.665533
3.0,382,747.83253
2.0,318,748.733531
7.0,567,957.417043
7.0,487,959.019359
6.0,510,960.659356
3.0,325,961.587358
2.0,269,962.413358
3.0,362,963.425358
4.0,396,964.630356
6.0,486,966.220358
4.0,401,967.413358
6.0,477,968.909357
3.0,358,970.024358
7.0,608,971.937357
3.0,340,972.985358
2.0,275,973.763359
6.0,516,975.435357
0.0,209,975.999357
3.0,356,977.042357
3.0,359,978.195358
1.0,254,978.840358
3.0,354,979.947358
7.0,599,981.805357
3.0,384,983.000385
4.0,440,984.375385
8.0,602,986.280385
6.0,509,1193.685543
4.0,385,1194.859051
6.0,507,1196.426053
6.0,479,1197.932053
7.0,530,1199.558052
7.0,586,1201.432051
9.0,646,1203.492054
3.0,369,1204.635052
6.0,484,1206.171051
3.0,398,1207.362052
6.0,495,1208.936052
1.0,252,1209.616053
5.0,427,1210.913053
4.0,404,1212.121053
1.0,248,1212.849052
1.0,233,1213.518054
5.0,441,1214.842053
7.0,576,1216.678054
5.0,475,1218.150051
7.0,567,1219.951053
6.0,487,1221.375053
8.0,563,1430.427802
13.0,753,1432.814802
5.0,447,1434.173802
2.0,286,1434.952803
10.0,680,1437.142803
5.0,469,1438.520803
9.0,652,1440.65635
5.0,467,1442.073346
3.0,306,1442.992868
5.0,501,1444.512866
8.0,551,1446.280864
7.0,562,1448.082866
7.0,353,1449.160866
8.0,579,1450.985867
6.0,529,1452.616865
5.0,425,1453.883864
7.0,557,1455.630867
2.0,283,1456.387865
6.0,486,1457.874864
2.0,315,1458.753866
7.0,533,1660.753196
4.0,377,1661.919195
6.0,467,1663.397196
8.0,558,1665.119196
6.0,505,1666.650702
3.0,355,1667.724749
7.0,546,1669.407748
3.0,323,1670.360749
8.0,567,1672.139748
8.0,584,1673.977749
1.0,248,1674.651748
5.0,435,1676.010748
4.0,407,1677.342775
5.0,459,1679.829935
5.0,483,1682.740071
3.0,334,1684.017725
4.0,377,1685.628759
7.0,581,1687.660012
4.0,445,1689.137013
7.0,614,1694.028749
6.0,503,1921.037011
5.0,482,1922.566583
11.0,766,1925.151114
3.0,321,1926.051113
7.0,539,1927.696137
4.0,365,1928.703139
7.0,643,1930.774139
7.0,530,1932.512138
6.0,491,1933.987648
