#{"t_start": 1671033145.9991782, "env_id": "Breakout-v0"}
r,l,t
1.0,250,1.06399
1.0,218,1.725989
2.0,297,2.587987
2.0,316,3.579856
1.0,269,4.396254
4.0,417,5.6723
1.0,259,6.4743
1.0,259,7.3283
3.0,380,8.5383
4.0,406,9.783481
2.0,325,10.707483
0.0,182,11.241481
3.0,348,12.351482
2.0,310,13.324765
1.0,247,14.082764
3.0,355,15.204766
2.0,318,16.228768
1.0,265,16.930768
2.0,281,17.820767
1.0,263,18.600768
4.0,403,19.810765
1.0,268,20.560765
2.0,310,21.434764
0.0,210,21.998765
3.0,332,23.044774
0.0,191,23.596768
0.0,209,24.126766
3.0,362,25.281846
1.0,239,25.915844
4.0,448,27.397845
2.0,336,28.483846
0.0,214,29.007846
1.0,222,29.599847
5.0,512,31.323847
2.0,328,32.301845
7.0,455,261.94789
3.0,350,263.234954
1.0,240,264.003093
1.0,249,264.70117
4.0,428,266.175167
1.0,231,266.889167
2.0,280,267.744166
2.0,306,268.693166
4.0,445,270.072167
0.0,216,270.659167
0.0,184,271.187165
0.0,188,271.743168
1.0,232,272.384319
1.0,244,273.122318
1.0,250,273.90732
1.0,245,274.662836
4.0,435,276.101839
5.0,507,277.817836
2.0,297,278.754837
0.0,187,279.293836
0.0,196,279.868835
4.0,425,281.244836
0.0,199,281.828836
0.0,203,282.336838
2.0,325,283.249837
1.0,260,284.007835
2.0,292,284.999835
1.0,262,285.749837
2.0,298,286.693837
1.0,247,287.390836
4.0,429,288.835836
0.0,202,289.391836
1.0,253,290.181836
6.0,484,291.859837
2.0,293,292.789835
2.0,287,293.761836
1.0,265,530.740708
3.0,368,531.917708
0.0,202,532.442705
7.0,445,533.979708
3.0,367,535.127706
3.0,359,536.312709
4.0,431,537.659707
6.0,500,539.377706
6.0,474,541.011707
6.0,515,542.726708
1.0,241,543.517708
2.0,281,544.382705
0.0,193,544.909711
3.0,394,546.186707
1.0,237,546.789709
6.0,471,548.315705
3.0,357,549.556705
3.0,338,550.627707
4.0,387,551.963707
2.0,283,552.893706
6.0,525,554.656706
0.0,194,555.229706
4.0,391,556.499708
1.0,243,557.164708
2.0,318,558.277708
3.0,350,559.394708
0.0,186,559.961708
4.0,431,561.365709
0.0,197,561.860708
0.0,205,562.433708
3.0,367,794.286763
4.0,447,795.801335
4.0,378,797.036339
8.0,589,799.032333
3.0,334,800.093336
4.0,414,801.416334
8.0,564,803.419336
1.0,263,804.120337
5.0,449,805.559845
4.0,399,806.859359
3.0,364,807.962358
3.0,341,809.059357
1.0,244,809.789358
5.0,518,811.467355
2.0,273,812.304358
1.0,266,813.119896
2.0,321,814.095894
5.0,435,815.482894
2.0,267,816.314896
7.0,538,818.078896
3.0,369,819.285897
3.0,382,820.498894
3.0,363,821.612896
4.0,387,822.855896
7.0,551,824.719406
0.0,220,825.263409
2.0,292,826.139406
3.0,351,1057.703138
6.0,512,1059.300142
0.0,192,1059.838138
5.0,456,1061.221139
1.0,243,1061.98514
6.0,498,1063.548139
4.0,417,1064.901225
2.0,274,1065.787225
3.0,376,1066.882225
5.0,445,1068.330223
6.0,488,1069.895223
6.0,525,1071.629224
0.0,206,1072.169224
7.0,550,1073.904223
2.0,294,1074.763224
3.0,330,1075.909222
4.0,408,1077.116224
8.0,606,1079.032223
8.0,638,1081.240224
1.0,235,1081.910222
0.0,210,1082.429223
4.0,454,1083.807225
3.0,364,1084.967222
4.0,445,1086.421223
7.0,514,1308.452794
2.0,272,1309.194789
2.0,260,1309.96279
1.0,264,1310.65679
0.0,206,1311.200789
7.0,592,1313.024789
5.0,457,1314.474791
8.0,541,1316.104789
7.0,505,1317.646789
4.0,419,1318.90679
8.0,596,1320.748788
7.0,546,1322.476791
3.0,347,1323.526791
12.0,644,1325.61279
7.0,604,1327.492789
6.0,482,1328.93479
4.0,407,1330.160791
0.0,200,1330.640793
3.0,312,1331.558789
5.0,476,1333.010796
1.0,244,1333.634789
5.0,431,1334.976789
6.0,491,1336.476792
13.0,784,1549.827146
3.0,304,1550.751145
6.0,567,1552.521149
5.0,478,1553.979146
5.0,449,1555.337148
6.0,499,1556.875147
6.0,488,1558.345147
3.0,332,1559.27315
10.0,613,1561.185146
7.0,575,1562.941148
5.0,435,1564.265147
7.0,581,1565.995146
5.0,449,1567.349145
6.0,483,1568.849148
7.0,560,1570.623146
5.0,448,1571.897147
6.0,532,1573.559148
6.0,514,1575.011147
4.0,392,1576.225146
5.0,466,1577.645146
6.0,510,1784.866183
5.0,424,1786.144181
4.0,399,1787.320183
3.0,305,1788.242183
3.0,338,1789.243347
9.0,654,1791.313344
4.0,397,1792.407346
7.0,512,1793.993348
7.0,538,1795.649344
7.0,522,1797.315343
2.0,262,1798.035346
7.0,507,1799.593346
6.0,503,1801.159344
8.0,618,1803.031347
9.0,706,1805.235346
8.0,577,1807.027346
6.0,493,1808.527345
5.0,477,1809.981346
1.0,250,1810.645348
8.0,582,2016.253196
7.0,512,2017.887195
7.0,559,2019.689197
6.0,501,2021.273197
10.0,667,2023.387197
5.0,453,2024.709195
6.0,482,2026.185194
6.0,463,2027.541196
5.0,430,2028.787195
5.0,433,2030.107197
4.0,399,2031.325197
6.0,505,2032.897195
4.0,393,2034.009197
5.0,424,2035.307197
2.0,281,2036.065195
8.0,578,2037.935195
3.0,326,2038.909196
9.0,605,2040.749197
7.0,516,2042.415197
7.0,538,2044.165198
9.0,647,2251.042293
8.0,605,2253.022296
6.0,528,2254.590294
8.0,579,2256.388294
7.0,542,2258.020293
2.0,271,2258.770291
2.0,272,2259.466295
10.0,684,2261.604294
1.0,242,2262.184292
4.0,380,2263.332293
4.0,395,2264.496294
4.0,360,2265.520292
11.0,747,2267.856292
2.0,263,2268.590293
6.0,484,2270.018293
7.0,513,2271.614294
7.0,606,2273.446293
10.0,686,2275.674294
9.0,584,2277.458293
13.0,700,2488.383698
6.0,484,2489.835697
6.0,524,2491.531698
6.0,549,2493.265695
4.0,445,2494.581695
3.0,340,2495.603697
7.0,549,2497.237699
7.0,526,2498.807696
8.0,628,2500.787697
8.0,627,2502.699698
10.0,523,2504.303698
7.0,561,2506.003697
4.0,409,2507.185696
8.0,595,2508.993698
5.0,420,2510.269696
7.0,534,2511.869696
3.0,296,2512.757697
5.0,490,2514.229697
5.0,433,2515.465695
6.0,456,2516.861697
8.0,581,2724.444865
11.0,709,2726.706865
5.0,439,2728.006865
9.0,619,2730.026863
10.0,731,2732.340863
3.0,398,2733.490865
7.0,557,2735.278863
3.0,379,2736.338862
6.0,486,2737.812865
7.0,563,2739.526863
7.0,538,2741.150863
6.0,505,2742.666865
5.0,443,2744.016865
5.0,467,2745.388864
6.0,477,2746.742863
11.0,730,2749.088864
8.0,559,2750.854863
7.0,540,2957.140112
10.0,716,2959.384111
5.0,467,2960.764111
8.0,580,2962.55211
7.0,552,2964.26611
9.0,655,2966.294113
8.0,636,2968.314111
11.0,766,2970.696111
12.0,781,2973.128112
8.0,590,2974.908113
3.0,342,2975.924113
12.0,789,2978.426112
4.0,393,2979.584111
6.0,552,2981.204112
10.0,733,2983.51411
6.0,480,2984.87211
5.0,474,3189.725872
7.0,561,3191.469872
10.0,778,3193.967872
8.0,585,3195.797872
7.0,542,3197.495872
10.0,715,3199.773874
7.0,508,3201.335872
5.0,422,3202.557873
10.0,675,3204.681874
9.0,656,3206.699871
9.0,660,3208.763872
3.0,334,3209.661872
9.0,597,3211.531873
5.0,459,3212.843871
6.0,536,3214.483873
2.0,332,3215.373874
7.0,480,3216.829874
7.0,565,3425.167096
8.0,538,3426.775097
4.0,405,3428.003954
8.0,588,3429.76673
7.0,527,3431.394731
9.0,668,3433.406733
6.0,568,3435.12073
4.0,369,3436.13473
7.0,521,3437.73673
12.0,667,3439.724732
10.0,651,3441.78073
7.0,545,3443.384729
13.0,734,3445.620731
11.0,734,3447.89673
8.0,715,3450.092731
11.0,731,3653.292685
6.0,498,3654.866685
9.0,619,3656.790685
5.0,441,3658.090683
13.0,836,3660.748685
9.0,657,3662.782138
16.0,857,3665.406842
4.0,415,3666.616842
8.0,570,3668.370842
9.0,629,3670.320841
9.0,613,3672.236842
7.0,616,3674.144841
7.0,593,3675.922841
6.0,498,3677.450841
7.0,529,3679.068843
9.0,670,3681.110843
9.0,686,3884.709232
9.0,669,3886.81123
9.0,624,3888.739231
10.0,683,3890.81123
5.0,451,3892.149232
12.0,797,3894.637231
4.0,382,3895.747231
6.0,492,3897.22923
8.0,577,3899.019231
6.0,493,3900.47323
8.0,568,3902.213231
11.0,631,3904.123232
3.0,332,3905.081231
8.0,598,3906.90923
9.0,609,3908.759233
8.0,628,3910.655233
11.0,716,4115.783918
7.0,587,4117.537916
9.0,688,4119.731919
10.0,553,4121.431917
12.0,665,4123.473917
7.0,554,4125.197917
10.0,567,4126.847917
6.0,475,4128.27792
7.0,571,4129.947919
8.0,545,4131.629919
7.0,595,4133.429918
9.0,641,4135.431918
12.0,762,4137.84392
8.0,636,4139.809917
8.0,575,4141.517921
6.0,497,4349.560061
10.0,776,4352.044059
4.0,386,4353.060059
9.0,599,4354.928062
8.0,565,4356.658061
12.0,685,4358.81006
7.0,553,4360.48406
12.0,790,4362.930062
8.0,542,4364.596062
7.0,553,4366.23606
13.0,847,4368.872063
12.0,821,4371.424059
10.0,700,4373.55006
4.0,399,4374.686062
6.0,481,4376.168061
10.0,563,4578.835611
8.0,634,4580.813611
12.0,775,4583.303697
12.0,861,4586.008389
11.0,786,4588.374388
6.0,516,4589.944387
7.0,579,4591.750387
10.0,681,4593.802388
7.0,585,4595.540385
7.0,539,4597.200386
8.0,581,4599.028386
9.0,651,4601.134386
9.0,695,4603.238727
9.0,636,4605.202728
12.0,686,4808.105301
3.0,335,4809.059299
16.0,877,4811.871301
6.0,483,4813.3293
10.0,653,4815.385302
11.0,763,4817.8693
8.0,647,4819.827302
6.0,469,4821.195302
2.0,304,4822.0233
7.0,569,4823.765301
5.0,418,4824.9893
11.0,766,4827.461301
7.0,568,4829.195299
12.0,714,4831.4013
7.0,592,4833.123299
12.0,867,5036.439158
7.0,571,5038.217158
9.0,656,5040.223161
6.0,510,5041.719159
8.0,618,5043.675161
4.0,421,5044.833159
7.0,593,5046.663159
6.0,493,5048.165158
9.0,673,5050.23716
7.0,513,5051.81716
9.0,671,5053.889165
6.0,484,5055.37916
10.0,508,5056.977158
10.0,715,5059.10916
8.0,644,5061.085157
11.0,775,5063.52516
8.0,605,5271.835711
8.0,603,5273.735714
12.0,775,5276.165711
9.0,591,5277.999712
10.0,705,5280.249713
7.0,595,5282.039711
7.0,561,5283.673711
8.0,624,5285.59171
8.0,623,5287.497712
10.0,714,5289.717715
12.0,650,5291.682554
10.0,668,5293.720557
9.0,698,5295.864557
3.0,353,5296.818555
7.0,561,5298.544557
7.0,570,5500.705547
11.0,760,5503.105547
5.0,468,5504.509549
11.0,719,5506.785548
8.0,630,5508.759547
11.0,775,5511.165547
7.0,531,5512.743546
6.0,492,5514.211545
8.0,568,5515.983546
7.0,530,5517.589547
8.0,588,5519.335546
7.0,538,5520.945546
8.0,588,5522.687546
8.0,637,5524.615546
12.0,885,5527.355547
9.0,684,5730.72124
7.0,518,5732.27324
8.0,573,5734.021241
4.0,420,5735.21924
8.0,608,5737.08524
5.0,448,5738.373239
9.0,670,5740.46324
7.0,538,5742.06724
8.0,634,5743.997238
10.0,723,5746.21924
5.0,457,5747.57724
6.0,463,5748.981241
3.0,323,5749.925239
8.0,636,5751.857239
7.0,550,5753.527241
9.0,509,5755.091247
8.0,686,5757.197239
10.0,725,5961.67557
4.0,416,5962.901569
6.0,473,5964.323569
9.0,655,5966.363569
16.0,965,5969.465571
7.0,550,5971.061569
17.0,926,5974.011568
5.0,475,5975.437571
9.0,704,5977.623569
13.0,691,5979.807569
10.0,707,5982.01757
5.0,410,5983.263569
9.0,601,5985.16357
8.0,618,5987.033571
11.0,728,6197.032728
14.0,671,6199.156729
10.0,674,6201.268724
12.0,696,6203.474724
12.0,812,6205.958725
14.0,560,6207.662725
8.0,565,6209.382727
6.0,479,6210.822724
9.0,651,6212.766725
13.0,837,6215.408726
3.0,335,6216.286731
4.0,373,6217.388725
7.0,496,6218.888728
6.0,506,6220.412729
8.0,574,6222.116727
3.0,326,6223.058724
6.0,534,6426.286321
5.0,424,6427.490322
8.0,577,6429.216322
4.0,405,6430.36432
6.0,526,6431.956324
12.0,749,6434.256322
4.0,372,6435.3424
7.0,528,6436.982095
17.0,921,6439.906096
11.0,731,6442.116095
6.0,505,6443.592095
3.0,311,6444.430098
8.0,596,6446.282096
6.0,530,6447.868094
10.0,745,6450.154097
10.0,676,6452.202095
4.0,337,6453.176098
8.0,461,6656.443696
7.0,578,6658.235698
9.0,657,6660.271697
10.0,584,6662.073698
10.0,727,6664.335697
6.0,459,6665.641694
8.0,573,6667.393696
5.0,458,6668.747695
7.0,519,6670.295694
10.0,680,6672.345695
8.0,636,6674.305694
9.0,629,6676.2157
14.0,743,6678.497698
4.0,382,6679.669695
4.0,391,6680.805695
5.0,477,6682.191695
5.0,442,6683.515695
12.0,584,6887.450149
8.0,610,6889.31015
15.0,804,6891.806149
12.0,779,6894.30615
11.0,808,6896.808148
11.0,701,6899.00415
8.0,634,6900.936148
12.0,869,6903.67815
14.0,752,6906.03215
3.0,346,6906.99615
13.0,726,6909.200153
7.0,520,6910.784149
6.0,493,6912.266148
10.0,721,6914.48215
6.0,472,7125.078357
6.0,538,7126.666359
10.0,720,7128.90836
8.0,589,7130.724358
5.0,467,7132.124361
10.0,712,7134.284359
13.0,857,7136.898361
7.0,510,7138.490358
6.0,541,7140.05436
9.0,661,7142.086359
9.0,613,7143.984358
9.0,579,7145.786359
8.0,604,7147.626361
13.0,904,7150.416359
6.0,512,7151.89036
