#{"t_start": 1670871020.8876228, "env_id": "Breakout-v0"}
r,l,t
2.0,313,1.068012
1.0,262,1.622004
2.0,334,2.410012
2.0,334,3.252012
1.0,273,3.838002
1.0,250,4.436014
0.0,171,4.822003
0.0,197,5.234002
1.0,253,5.804002
2.0,280,6.548002
0.0,200,6.920011
3.0,360,7.708001
0.0,209,8.190002
0.0,188,8.602011
1.0,228,9.078002
1.0,229,9.628002
0.0,191,10.070011
0.0,185,10.470006
2.0,292,11.152004
2.0,300,11.864001
1.0,262,12.436013
3.0,349,13.216002
1.0,243,13.748012
0.0,196,14.128018
3.0,367,15.082
1.0,236,15.608002
2.0,315,16.366012
6.0,502,17.72
5.0,453,18.794
3.0,355,19.602003
0.0,199,19.990002
2.0,322,20.772
1.0,270,21.350018
1.0,238,21.868019
6.0,481,23.016003
0.0,175,23.386002
4.0,414,24.474011
2.0,286,25.148012
3.0,372,26.102012
2.0,280,26.740002
0.0,190,27.160002
1.0,259,27.750003
0.0,220,28.160003
3.0,303,28.940012
1.0,255,29.540002
3.0,350,30.378002
1.0,262,30.958011
2.0,317,31.754
1.0,257,32.322002
2.0,294,33.058012
2.0,304,33.770012
2.0,300,34.44
0.0,182,34.858013
0.0,184,35.314012
1.0,256,35.950002
0.0,180,36.336003
0.0,202,36.726012
2.0,341,37.544002
2.0,324,38.28603
2.0,324,39.04
0.0,195,39.452001
2.0,317,40.256001
1.0,224,40.776002
2.0,263,41.362003
1.0,238,41.882003
0.0,184,42.256017
3.0,351,43.148002
2.0,292,43.804012
4.0,451,45.000012
2.0,332,45.724018
2.0,329,46.482012
4.0,411,47.560001
0.0,187,47.950013
3.0,347,48.854002
1.0,245,49.396476
1.0,220,49.894485
1.0,258,50.456486
1.0,266,51.044476
2.0,280,51.676476
1.0,269,52.274479
2.0,307,53.080486
5.0,468,54.254492
4.0,387,55.274474
2.0,333,56.122486
3.0,403,57.106476
1.0,233,57.628487
2.0,299,58.334492
0.0,213,58.824492
3.0,343,59.630486
0.0,179,59.996486
2.0,281,60.702492
1.0,263,61.330476
1.0,250,61.892478
1.0,257,62.510476
1.0,240,63.060486
1.0,274,63.638476
1.0,260,64.202485
1.0,269,64.812476
2.0,282,65.528474
1.0,274,66.192478
1.0,242,66.744485
2.0,321,67.592476
8.0,560,69.076487
3.0,371,70.046474
2.0,335,70.796476
1.0,230,71.380478
0.0,191,71.768476
4.0,392,72.806485
2.0,297,73.470478
1.0,217,73.930474
2.0,314,74.706476
3.0,358,75.664476
1.0,250,76.238477
0.0,198,76.664474
3.0,389,77.618479
1.0,265,78.212476
3.0,359,79.056477
5.0,477,80.244477
0.0,206,80.652474
1.0,260,81.228476
2.0,333,82.042486
1.0,255,82.584486
1.0,241,83.102486
1.0,238,83.653013
1.0,249,84.249002
3.0,340,85.021019
0.0,203,85.475001
0.0,219,85.899003
0.0,181,86.287001
0.0,190,86.701003
2.0,301,87.449002
1.0,238,88.007002
0.0,190,88.449012
2.0,320,89.159012
1.0,248,89.705015
1.0,264,90.291004
1.0,262,90.915002
0.0,198,91.325004
2.0,310,92.045002
0.0,193,92.455006
0.0,195,92.86702
4.0,382,93.857002
1.0,252,94.431013
4.0,380,95.405
2.0,305,96.173012
1.0,271,96.827002
1.0,245,97.407003
2.0,292,98.097013
3.0,404,99.055001
2.0,309,99.849004
1.0,264,100.433002
3.0,372,101.415033
4.0,421,102.435011
4.0,440,103.613012
0.0,213,104.069004
2.0,323,104.795012
1.0,251,105.371012
2.0,289,106.075003
0.0,197,106.555012
0.0,196,106.915012
1.0,234,107.453012
2.0,316,108.215015
2.0,299,108.907012
0.0,186,109.31902
7.0,556,110.777003
2.0,285,111.503002
2.0,306,112.245012
0.0,201,112.683001
4.0,461,113.869
3.0,349,114.764918
5.0,446,115.940918
1.0,277,116.586919
0.0,205,116.978919
0.0,205,117.366919
5.0,473,118.606919
2.0,292,119.344919
1.0,279,119.95491
2.0,325,120.758908
