#{"t_start": 1670871020.6836228, "env_id": "Breakout-v0"}
r,l,t
3.0,380,1.412001
2.0,320,2.204013
1.0,251,2.778003
0.0,186,3.140012
2.0,293,3.902002
0.0,214,4.376012
1.0,261,5.000006
3.0,405,6.062012
0.0,191,6.456003
8.0,488,7.656
0.0,194,8.068018
0.0,181,8.482002
1.0,260,9.048012
2.0,299,9.766003
0.0,190,10.180002
0.0,190,10.578013
1.0,232,11.098018
4.0,407,12.164001
4.0,395,13.152002
7.0,466,14.358002
2.0,288,15.012002
1.0,266,15.576012
2.0,275,16.234013
0.0,210,16.688022
2.0,292,17.388013
3.0,378,18.294011
6.0,527,19.532002
2.0,324,20.294012
1.0,271,20.862006
1.0,258,21.464002
5.0,443,22.570012
5.0,494,23.756012
0.0,196,24.194
0.0,200,24.576002
2.0,297,25.280003
0.0,183,25.692003
0.0,189,26.068
1.0,284,26.712002
0.0,220,27.172004
0.0,208,27.638012
2.0,312,28.430001
1.0,268,29.030002
2.0,298,29.702
2.0,281,30.320003
0.0,190,30.714002
2.0,316,31.490002
3.0,387,32.462002
2.0,329,33.204011
2.0,329,34.070012
2.0,295,34.724013
1.0,257,35.360013
1.0,255,35.990001
1.0,261,36.612
3.0,380,37.552013
2.0,320,38.288002
2.0,323,39.034002
0.0,203,39.444003
2.0,288,40.166002
2.0,309,40.916018
0.0,189,41.300012
3.0,342,42.054006
0.0,178,42.408002
4.0,414,43.486002
1.0,263,44.106
2.0,298,44.792002
1.0,262,45.382012
0.0,225,45.752017
2.0,319,46.538012
1.0,241,47.062002
2.0,295,47.700001
0.0,214,48.174002
0.0,207,48.570011
4.0,374,49.538491
0.0,207,49.970485
4.0,422,51.078485
3.0,381,52.018476
2.0,309,52.732486
1.0,269,53.380477
1.0,250,53.916486
1.0,275,54.498476
3.0,364,55.348476
0.0,205,55.796474
2.0,306,56.534492
5.0,484,57.768477
1.0,272,58.328474
0.0,198,58.796477
4.0,428,59.898477
1.0,268,60.512492
1.0,242,61.090475
1.0,246,61.666475
1.0,259,62.288486
1.0,270,62.892475
2.0,339,63.712476
2.0,280,64.440476
2.0,301,65.106476
0.0,198,65.540492
1.0,251,66.146475
0.0,210,66.594494
1.0,263,67.224486
1.0,245,67.748488
2.0,294,68.424477
0.0,178,68.816485
2.0,315,69.588486
1.0,288,70.288486
2.0,333,71.040475
0.0,210,71.442488
1.0,249,72.050485
2.0,306,72.708476
2.0,287,73.380476
3.0,338,74.216487
2.0,287,74.940487
0.0,214,75.352474
0.0,176,75.714476
1.0,238,76.234486
0.0,200,76.666476
2.0,312,77.398476
2.0,289,78.108474
0.0,192,78.510492
2.0,315,79.184486
1.0,272,79.776485
1.0,246,80.322476
2.0,322,81.120479
1.0,247,81.698487
1.0,222,82.186474
4.0,413,83.160486
0.0,191,83.590476
0.0,199,83.997012
0.0,206,84.411012
3.0,353,85.269003
3.0,383,86.305001
3.0,334,87.145012
1.0,237,87.721
2.0,304,88.435014
1.0,228,88.949003
2.0,309,89.617001
0.0,181,90.005003
1.0,275,90.603005
0.0,195,90.981013
4.0,430,92.131003
4.0,400,93.197003
2.0,319,93.947002
2.0,318,94.757012
1.0,249,95.339001
0.0,201,95.713014
3.0,376,96.655003
0.0,199,97.107013
0.0,205,97.481003
1.0,267,98.075003
1.0,254,98.681003
3.0,361,99.515003
2.0,314,100.329003
1.0,226,100.845003
0.0,208,101.229013
1.0,255,101.831003
2.0,301,102.523012
1.0,227,103.037003
0.0,202,103.469019
4.0,410,104.567
2.0,328,105.333012
1.0,268,105.989018
2.0,284,106.725013
3.0,360,107.579015
3.0,325,108.355013
3.0,377,109.225003
2.0,304,109.959012
3.0,373,110.839003
0.0,216,111.299013
2.0,289,111.985012
0.0,198,112.395012
0.0,186,112.815003
1.0,262,113.397002
1.0,261,113.975003
2.0,312,114.748919
2.0,307,115.458908
0.0,199,115.834911
0.0,206,116.282925
2.0,302,117.012924
4.0,410,118.088909
0.0,178,118.462919
2.0,329,119.264919
0.0,212,119.704912
2.0,309,120.406911
1.0,247,121.006919
1.0,248,121.618925
0.0,202,122.002919
3.0,397,123.028919
3.0,373,123.93291
4.0,428,124.95692
0.0,221,125.424911
0.0,208,125.843866
3.0,381,126.785858
3.0,383,127.769867
2.0,315,128.517861
2.0,303,129.281867
1.0,231,129.799857
0.0,208,130.251858
0.0,214,130.683857
0.0,203,131.111858
3.0,377,132.047857
3.0,350,132.911857
0.0,209,133.305869
2.0,299,133.985858
0.0,206,134.455866
3.0,378,135.355857
3.0,333,136.157855
5.0,486,137.439875
0.0,207,137.843866
3.0,329,138.629874
5.0,456,139.855867
1.0,256,140.379879
1.0,266,140.977857
1.0,270,141.617864
1.0,255,142.163857
1.0,246,142.727858
5.0,482,143.957867
3.0,364,144.931858
2.0,291,145.605867
4.0,422,146.583856
3.0,346,147.433867
1.0,267,148.035856
4.0,459,149.203857
2.0,283,149.827869
4.0,433,150.885857
0.0,203,151.231868
1.0,257,151.759857
0.0,213,152.199857
0.0,211,152.655857
2.0,270,153.357857
3.0,386,154.335867
2.0,283,155.049869
1.0,263,155.623867
1.0,254,157.405857
2.0,303,159.743856
0.0,189,161.215857
0.0,186,162.409858
1.0,250,164.433859
1.0,268,166.421857
1.0,260,168.379861
4.0,431,171.929857
1.0,262,173.86165
3.0,352,176.815651
0.0,196,178.123652
2.0,318,180.65165
0.0,196,181.943649
3.0,336,184.539651
2.0,301,186.937653
1.0,230,188.641651
2.0,307,191.267653
1.0,251,193.005651
2.0,302,195.635648
1.0,250,197.317648
0.0,193,198.707342
1.0,245,200.687342
0.0,192,202.07334
2.0,323,204.725338
1.0,262,206.611341
2.0,308,209.037342
0.0,210,210.423341
0.0,219,211.96334
1.0,253,213.95134
2.0,325,216.48534
0.0,205,217.809343
2.0,315,220.437338
2.0,291,222.713342
2.0,327,225.383339
2.0,294,227.785342
3.0,365,230.945338
0.0,215,232.271707
2.0,325,234.763199
2.0,286,237.221274
0.0,206,238.561276
1.0,232,240.311274
1.0,262,242.273275
0.0,208,243.679272
3.0,397,247.563275
4.0,422,251.126907
1.0,260,253.022905
1.0,259,255.006905
3.0,353,258.078091
0.0,186,259.440093
6.0,540,264.462091
1.0,266,266.392091
2.0,285,268.832095
1.0,267,270.85809
2.0,287,273.302091
3.0,376,276.63409
0.0,207,278.01809
2.0,305,280.66609
1.0,241,282.676092
1.0,268,284.966093
1.0,252,286.836093
1.0,252,288.84809
0.0,198,290.361423
2.0,291,292.827423
1.0,255,294.779426
1.0,245,296.597428
2.0,305,299.195426
0.0,205,300.593425
1.0,252,302.707426
6.0,487,307.045427
2.0,293,309.499426
1.0,229,311.291425
1.0,256,313.217425
4.0,439,317.029424
