#{"t_start": 1671045572.6018226, "env_id": "Breakout-v0"}
r,l,t
0.0,187,1.031011
2.0,323,2.213035
1.0,253,3.018036
3.0,361,4.44624
0.0,192,5.067754
0.0,186,5.728876
0.0,201,6.317922
3.0,377,7.714027
1.0,249,8.466028
1.0,254,9.290028
1.0,269,10.167028
2.0,280,11.176052
2.0,346,12.243057
0.0,207,12.803057
2.0,286,13.730579
2.0,287,14.603575
2.0,252,15.335087
4.0,438,16.871714
0.0,199,17.383254
2.0,305,18.422385
0.0,192,18.94589
3.0,356,20.137474
2.0,288,21.080009
0.0,216,21.69501
5.0,475,23.432034
3.0,360,24.630623
3.0,332,25.74541
1.0,271,26.54059
2.0,330,27.588136
1.0,259,28.373164
2.0,267,29.23737
0.0,210,29.844368
2.0,274,30.675923
2.0,332,31.802482
3.0,366,33.108585
5.0,485,34.812977
0.0,196,35.350977
2.0,323,271.867835
1.0,244,272.570377
1.0,266,273.365934
5.0,479,274.987027
0.0,199,275.562107
1.0,222,276.244107
0.0,190,276.801103
0.0,186,277.314616
2.0,305,278.288615
3.0,364,279.46655
1.0,255,280.221664
1.0,264,281.006695
2.0,320,282.029269
4.0,420,283.577842
0.0,188,284.152873
2.0,298,285.160956
6.0,542,287.059004
3.0,396,288.298622
3.0,375,289.571626
0.0,196,290.091622
1.0,218,290.75813
0.0,217,291.376153
0.0,196,291.858712
0.0,179,292.377261
2.0,316,293.383735
2.0,316,294.470291
0.0,200,295.048327
1.0,235,295.788325
1.0,253,296.572351
0.0,190,297.091408
1.0,253,297.836411
1.0,232,298.55495
3.0,343,299.617517
1.0,257,300.418516
2.0,325,301.498516
4.0,399,302.853079
0.0,181,303.387622
2.0,285,304.340154
1.0,230,305.009717
2.0,288,539.943866
1.0,267,540.753894
4.0,417,542.126944
3.0,362,543.334967
2.0,307,544.319966
0.0,207,544.887481
1.0,247,545.701479
1.0,249,546.488599
0.0,198,546.98472
2.0,311,547.979228
0.0,189,548.572739
3.0,339,549.7033
2.0,287,550.617323
2.0,348,551.754858
1.0,238,552.502874
2.0,310,553.467874
3.0,380,554.804873
2.0,329,555.801872
2.0,332,556.845916
3.0,354,558.013958
2.0,315,559.048002
2.0,290,560.012053
3.0,350,561.119587
3.0,389,562.397125
0.0,202,562.974155
0.0,201,563.514668
0.0,203,564.06018
0.0,212,564.636153
3.0,393,565.921205
0.0,191,566.461318
10.0,576,568.555316
3.0,384,569.823851
5.0,500,571.515875
1.0,249,572.216877
2.0,287,573.153899
3.0,383,811.669438
3.0,407,813.001465
0.0,215,813.642015
1.0,229,814.346012
4.0,423,815.722161
1.0,262,816.446679
0.0,193,816.957716
4.0,423,818.447759
1.0,268,819.278267
2.0,339,820.343292
3.0,327,821.465801
3.0,377,822.675889
1.0,269,823.471887
1.0,255,824.26489
2.0,310,825.160888
3.0,363,826.28817
0.0,193,826.78417
1.0,246,827.566803
0.0,198,828.139803
1.0,261,828.930803
1.0,263,829.635845
2.0,299,830.539401
3.0,365,831.830493
3.0,371,833.015543
2.0,295,833.958073
0.0,182,834.437074
3.0,342,835.462075
3.0,367,836.705095
0.0,181,837.221092
2.0,283,838.111659
6.0,557,840.011673
5.0,475,841.690188
0.0,187,842.228185
0.0,184,842.740186
4.0,470,1078.128374
3.0,358,1079.337946
3.0,398,1080.70331
2.0,289,1081.612986
4.0,435,1083.024528
3.0,330,1084.16053
2.0,297,1085.072049
4.0,381,1086.321048
1.0,261,1087.146589
1.0,237,1087.902127
3.0,361,1089.086292
3.0,370,1090.293853
0.0,196,1090.859503
0.0,184,1091.369526
4.0,436,1092.865112
0.0,188,1093.407346
3.0,397,1094.662652
0.0,199,1095.188167
3.0,370,1096.468169
4.0,400,1097.858165
4.0,451,1099.373807
0.0,183,1099.924808
4.0,405,1101.334808
1.0,265,1102.108809
0.0,214,1102.704859
0.0,209,1103.337857
3.0,361,1104.520432
2.0,290,1105.513548
0.0,199,1106.04455
2.0,312,1107.040058
2.0,291,1107.899201
3.0,366,1109.064329
0.0,195,1109.612533
1.0,260,1110.379313
1.0,253,1111.129164
2.0,281,1345.705704
3.0,348,1346.930488
3.0,333,1348.031046
3.0,351,1349.209047
2.0,307,1350.127665
1.0,235,1350.831184
0.0,213,1351.422723
1.0,238,1352.082722
6.0,565,1354.12775
0.0,190,1354.69875
1.0,257,1355.497263
1.0,238,1356.266802
2.0,303,1357.205804
5.0,437,1358.649254
0.0,205,1359.242253
2.0,294,1360.23334
4.0,444,1361.591947
2.0,299,1362.58695
3.0,342,1363.803493
5.0,444,1365.261554
4.0,429,1366.671554
6.0,573,1368.609576
0.0,215,1369.155113
3.0,322,1370.191671
0.0,190,1370.728214
2.0,291,1371.690329
5.0,535,1373.533233
0.0,193,1374.099234
2.0,275,1374.944381
1.0,229,1375.68338
2.0,289,1376.608403
1.0,273,1377.36642
2.0,303,1378.301441
3.0,364,1613.137097
0.0,193,1613.748128
0.0,184,1614.328662
2.0,283,1615.240695
0.0,193,1615.782245
4.0,423,1617.170303
3.0,399,1618.495857
2.0,315,1619.452375
2.0,298,1620.397391
4.0,434,1621.784928
0.0,193,1622.403955
5.0,470,1623.980937
1.0,256,1624.687936
0.0,200,1625.279965
0.0,186,1625.813055
2.0,324,1626.865054
5.0,466,1628.490568
1.0,265,1629.271599
2.0,305,1630.224599
0.0,194,1630.746598
3.0,328,1631.825187
6.0,550,1633.633833
1.0,267,1634.474833
0.0,190,1635.057831
5.0,482,1636.653855
3.0,353,1637.816909
7.0,457,1639.388552
1.0,251,1640.07755
3.0,352,1641.27909
2.0,283,1642.108625
3.0,384,1643.358645
2.0,339,1644.433157
4.0,467,1906.169348
3.0,367,1907.380347
0.0,212,1908.02435
3.0,373,1909.316347
4.0,428,1910.984375
0.0,193,1911.607419
2.0,294,1912.553956
0.0,190,1913.179979
4.0,418,1914.64756
4.0,404,1916.069607
3.0,393,1917.470634
1.0,255,1918.316145
3.0,371,1919.683875
2.0,344,1920.858877
4.0,399,1922.247606
3.0,360,1923.505132
2.0,303,1924.516129
2.0,312,1925.455774
1.0,235,1926.217931
3.0,363,1927.442677
2.0,306,1928.430678
2.0,290,1929.415194
1.0,263,1930.30721
2.0,289,1931.328791
3.0,369,1932.602875
1.0,268,1933.600967
4.0,431,1935.09251
4.0,423,1936.658571
0.0,212,1937.250599
0.0,203,1937.805178
3.0,340,1939.010735
4.0,418,1940.429316
3.0,366,2193.606718
3.0,377,2194.828969
2.0,307,2195.791155
3.0,376,2197.130363
4.0,442,2198.704438
2.0,322,2199.835437
3.0,382,2201.186081
2.0,297,2202.069645
0.0,190,2202.692158
2.0,306,2203.66879
3.0,334,2204.84833
0.0,202,2205.426354
3.0,374,2206.605887
4.0,374,2207.865129
