#{"t_start": 1671045572.3868237, "env_id": "Breakout-v0"}
r,l,t
1.0,236,1.358009
0.0,188,1.940036
4.0,442,3.554553
3.0,362,4.952754
3.0,375,6.444922
2.0,309,7.679493
1.0,282,8.499026
2.0,288,9.444027
0.0,179,10.021027
0.0,190,10.589025
5.0,486,12.28306
0.0,216,12.875056
1.0,245,13.588058
2.0,316,14.566578
3.0,369,15.765085
3.0,349,16.97971
3.0,352,18.156298
1.0,258,18.939383
5.0,449,20.517472
5.0,430,22.038519
1.0,259,22.821033
0.0,183,23.318034
2.0,309,24.32606
1.0,272,25.147622
1.0,260,25.925228
0.0,192,26.416592
2.0,316,27.461135
3.0,380,28.714286
1.0,265,29.530366
2.0,337,30.646878
0.0,188,31.169433
0.0,191,31.744947
1.0,240,32.473524
0.0,197,32.991036
2.0,304,33.95512
1.0,284,34.74895
1.0,209,35.379978
1.0,255,271.672834
4.0,451,273.114397
4.0,420,274.516025
0.0,195,275.045024
4.0,432,276.542106
4.0,410,277.966614
0.0,193,278.483615
4.0,381,279.773548
0.0,213,280.276621
2.0,307,281.259694
1.0,263,281.934756
2.0,311,283.012268
0.0,185,283.588267
1.0,228,284.265874
2.0,307,285.280954
3.0,381,286.514473
2.0,349,287.565517
4.0,422,288.947621
0.0,197,289.519621
5.0,486,291.284129
2.0,308,292.198712
2.0,284,293.145283
2.0,340,294.25125
0.0,185,294.76229
0.0,191,295.248326
0.0,190,295.852325
4.0,460,297.478407
0.0,206,298.014409
0.0,207,298.632944
4.0,380,299.925515
0.0,191,300.384515
1.0,231,301.042517
1.0,252,301.827517
2.0,299,302.774563
3.0,364,304.052619
1.0,256,304.869694
5.0,455,540.520892
3.0,381,541.751914
2.0,328,542.78094
1.0,225,543.471966
0.0,185,544.015965
2.0,314,545.041478
2.0,289,546.027477
1.0,265,546.884718
3.0,328,547.975229
1.0,265,548.844738
2.0,305,549.80428
3.0,355,550.971322
0.0,177,551.457854
1.0,251,552.27087
2.0,307,553.223872
0.0,191,553.781873
2.0,306,554.738872
4.0,443,556.284871
0.0,206,556.770919
2.0,287,557.632447
1.0,256,558.448471
1.0,252,559.236005
2.0,281,560.14305
2.0,302,561.118586
0.0,184,561.607613
2.0,271,562.452125
0.0,213,563.011155
2.0,300,564.03318
1.0,274,564.891153
0.0,208,565.401152
2.0,294,566.232261
2.0,316,567.278317
0.0,189,567.766314
