#{"t_start": 1671045572.8188417, "env_id": "Breakout-v0"}
r,l,t
2.0,285,1.262014
1.0,248,2.154016
2.0,302,3.209559
0.0,190,3.841712
0.0,189,4.498734
4.0,410,6.318904
0.0,213,6.886416
2.0,306,7.914008
0.0,186,8.452009
0.0,216,9.033007
0.0,191,9.539009
0.0,201,10.118009
0.0,181,10.647034
1.0,245,11.359032
1.0,242,12.132039
2.0,282,13.053039
3.0,382,14.332557
2.0,345,15.412071
2.0,310,16.472692
1.0,253,17.308259
1.0,269,18.102366
2.0,303,19.064905
0.0,216,19.595451
0.0,211,20.182452
2.0,329,21.142992
0.0,206,21.788501
0.0,179,22.305016
2.0,302,23.269016
3.0,360,24.351605
1.0,275,25.141629
2.0,288,26.071572
2.0,286,26.981115
0.0,207,27.512115
2.0,314,28.596303
3.0,354,29.818859
2.0,308,30.846416
0.0,197,31.43495
0.0,183,31.958504
2.0,289,32.944566
1.0,265,33.7581
5.0,406,35.192959
6.0,525,272.483379
2.0,286,273.433479
2.0,341,274.437006
1.0,236,275.169087
3.0,345,276.400086
1.0,235,277.137596
0.0,188,277.667596
3.0,336,278.74224
0.0,188,279.292531
2.0,318,280.362646
4.0,399,281.639738
0.0,197,282.176249
0.0,183,282.751251
2.0,354,283.974855
0.0,202,284.500421
3.0,341,285.639457
2.0,294,286.552965
4.0,411,287.876534
0.0,209,288.413603
0.0,218,288.988603
0.0,217,289.592601
2.0,285,290.463111
0.0,206,291.095112
7.0,431,292.608264
2.0,312,293.621231
4.0,407,295.03531
0.0,212,295.633307
0.0,190,296.167309
0.0,197,296.711391
2.0,284,297.697392
2.0,296,298.647955
0.0,210,299.183986
4.0,459,300.768497
0.0,201,301.345498
1.0,246,302.075037
3.0,337,303.248604
3.0,369,304.485676
2.0,323,539.527847
4.0,445,541.017895
0.0,197,541.517922
2.0,329,542.569925
4.0,449,544.157493
2.0,254,544.898462
2.0,320,545.95846
2.0,297,546.9187
0.0,193,547.45721
0.0,189,548.001719
2.0,335,549.07372
2.0,320,550.053305
1.0,215,550.730305
1.0,253,551.471837
1.0,270,552.323853
2.0,307,553.219855
1.0,262,554.001855
1.0,263,554.867855
0.0,180,555.325853
0.0,191,555.817853
4.0,424,557.283428
3.0,374,558.494454
0.0,206,559.063015
1.0,227,559.751033
0.0,201,560.274545
4.0,412,561.708105
4.0,397,563.10465
2.0,343,564.174133
1.0,243,564.923132
3.0,399,566.206298
2.0,345,567.272295
2.0,282,568.170297
0.0,181,568.682298
5.0,470,570.194858
3.0,365,571.354858
0.0,194,571.888858
1.0,246,572.565878
0.0,200,810.417416
0.0,178,810.897417
4.0,387,812.199418
1.0,265,813.031445
2.0,294,813.996992
2.0,294,814.916089
1.0,257,815.696142
3.0,375,816.852696
2.0,306,817.764212
3.0,382,819.022249
2.0,286,819.840272
0.0,183,820.417271
2.0,328,821.448323
2.0,306,822.355869
0.0,197,822.884868
1.0,282,823.689869
1.0,224,824.372868
4.0,461,825.855916
3.0,368,827.02123
1.0,273,827.948783
1.0,254,828.744785
3.0,375,829.883847
4.0,435,831.493474
0.0,206,832.018014
2.0,287,832.945033
3.0,377,834.196054
3.0,354,835.384054
0.0,216,835.980057
3.0,344,837.135073
2.0,313,838.100641
2.0,288,838.950083
2.0,315,839.967657
3.0,361,841.162166
2.0,331,842.221167
1.0,232,842.893166
3.0,365,1077.818356
3.0,351,1079.013927
2.0,336,1080.107005
4.0,419,1081.486966
2.0,314,1082.454965
2.0,293,1083.388511
3.0,384,1084.715027
3.0,348,1085.854032
2.0,307,1086.819572
1.0,266,1087.646109
4.0,392,1089.023296
1.0,259,1089.707806
0.0,195,1090.3184
3.0,340,1091.489041
1.0,267,1092.27904
2.0,298,1093.266362
3.0,380,1094.508633
2.0,288,1095.45715
1.0,251,1096.303149
2.0,282,1097.180147
0.0,184,1097.696682
3.0,336,1098.722764
2.0,312,1099.797788
2.0,306,1100.74279
2.0,300,1101.719789
1.0,260,1102.53784
3.0,367,1103.758348
2.0,285,1104.716439
3.0,368,1105.944531
2.0,277,1106.861038
5.0,458,1108.349201
4.0,453,1109.830145
3.0,326,1110.927144
2.0,288,1345.516686
3.0,337,1346.624433
4.0,420,1348.065026
0.0,215,1348.615026
2.0,284,1349.497029
3.0,354,1350.664163
0.0,194,1351.159704
3.0,374,1352.337702
4.0,404,1353.648219
1.0,222,1354.292732
3.0,354,1355.467244
3.0,369,1356.639783
0.0,194,1357.175804
4.0,444,1358.576236
3.0,354,1359.785296
0.0,186,1360.275347
3.0,354,1361.395928
0.0,213,1361.939927
2.0,301,1362.944928
3.0,366,1364.145983
2.0,309,1365.144535
0.0,200,1365.685533
2.0,283,1366.610538
3.0,338,1367.659047
0.0,188,1368.159557
5.0,483,1369.786605
1.0,259,1370.616194
2.0,305,1371.660307
3.0,339,1372.783214
2.0,310,1373.695215
4.0,403,1375.019364
0.0,212,1375.652362
1.0,267,1376.358384
4.0,421,1377.78842
2.0,292,1612.391077
2.0,288,1613.300109
1.0,236,1614.050618
2.0,306,1615.061717
3.0,380,1616.248282
3.0,355,1617.354795
0.0,192,1617.853796
2.0,336,1619.022355
2.0,295,1619.957357
2.0,285,1620.866885
4.0,368,1622.136938
0.0,193,1622.630938
4.0,440,1624.01292
4.0,454,1625.667036
2.0,288,1626.572036
2.0,297,1627.518548
1.0,237,1628.180549
3.0,372,1629.382578
2.0,282,1630.30958
3.0,332,1631.39617
2.0,310,1632.369195
3.0,350,1633.475813
0.0,203,1634.010814
2.0,306,1635.008812
2.0,319,1635.878836
3.0,399,1637.14089
1.0,231,1637.820512
5.0,487,1639.458532
2.0,279,1640.326069
4.0,436,1641.734583
1.0,279,1642.568116
1.0,245,1643.238627
2.0,294,1644.13614
3.0,333,1645.196138
1.0,260,1906.188328
4.0,423,1907.748328
4.0,407,1909.245328
2.0,293,1910.268328
0.0,201,1910.86536
2.0,281,1911.83094
2.0,295,1912.836963
2.0,308,1913.822963
3.0,364,1915.045053
2.0,290,1916.029589
0.0,184,1916.53559
3.0,362,1917.759128
0.0,195,1918.325151
3.0,344,1919.542857
2.0,325,1920.567858
1.0,280,1921.442556
5.0,486,1923.140111
2.0,281,1924.163109
5.0,488,1925.903849
0.0,212,1926.556031
4.0,431,1927.970658
3.0,333,1929.091173
1.0,248,1929.951191
3.0,356,1931.281772
1.0,274,1932.138855
2.0,313,1933.288947
1.0,232,1934.003494
3.0,362,1935.226494
2.0,294,1936.251555
4.0,400,1937.721162
3.0,403,1939.099736
4.0,435,1940.608329
0.0,195,2193.024673
2.0,321,2194.066875
3.0,350,2195.270099
3.0,368,2196.486317
3.0,370,2197.770418
0.0,185,2198.322419
3.0,364,2199.679419
3.0,366,2200.90906
4.0,418,2202.448138
4.0,400,2203.935285
2.0,275,2204.921826
2.0,276,2205.818338
3.0,357,2206.966427
4.0,398,2208.369758
0.0,206,2208.901759
2.0,293,2209.981758
2.0,312,2211.126793
2.0,311,2212.09686
4.0,403,2213.514429
1.0,222,2214.221969
2.0,328,2215.269514
3.0,355,2216.613537
1.0,258,2217.407632
3.0,357,2218.71566
1.0,257,2219.576664
2.0,293,2220.574216
2.0,296,2221.545237
0.0,195,2222.120236
3.0,341,2223.377235
2.0,279,2224.358236
2.0,333,2225.392238
4.0,395,2226.846445
2.0,279,2227.779489
0.0,188,2228.282507
0.0,205,2480.768868
3.0,331,2481.818887
2.0,329,2482.918423
2.0,308,2483.884504
4.0,432,2485.416078
6.0,531,2487.429731
3.0,365,2488.595265
2.0,344,2489.700264
1.0,225,2490.463293
2.0,312,2491.539388
1.0,266,2492.368904
1.0,253,2493.241928
1.0,221,2494.023981
1.0,222,2494.786498
0.0,189,2495.355029
4.0,387,2496.741082
3.0,342,2497.862062
2.0,319,2498.94467
0.0,194,2499.478696
2.0,334,2500.564778
3.0,390,2501.890775
0.0,191,2502.443776
2.0,291,2503.514298
0.0,189,2504.100298
1.0,269,2504.96881
4.0,413,2506.437399
2.0,326,2507.6375
2.0,276,2508.53162
3.0,356,2509.763693
3.0,350,2510.998721
1.0,265,2511.891235
4.0,397,2513.343771
0.0,203,2513.943773
2.0,305,2514.893856
0.0,200,2515.462386
2.0,340,2810.411812
1.0,225,2811.055844
1.0,243,2811.873888
2.0,294,2812.785396
3.0,350,2813.880955
4.0,426,2815.305985
3.0,330,2816.462808
3.0,353,2817.605393
0.0,209,2818.173971
6.0,561,2820.142058
3.0,361,2821.319159
1.0,257,2822.083259
3.0,377,2823.277257
0.0,181,2823.802793
2.0,289,2824.735792
0.0,187,2825.247793
0.0,210,2825.821809
5.0,515,2827.63146
3.0,333,2828.790461
3.0,373,2829.936049
0.0,205,2830.491047
2.0,289,2831.507585
2.0,324,2832.632124
2.0,320,2833.652316
2.0,276,2834.541014
6.0,544,2836.455638
1.0,246,2837.195637
0.0,208,2837.767638
4.0,404,2839.142172
3.0,404,2840.55917
1.0,275,2841.382171
2.0,295,2842.381189
2.0,295,2843.247705
5.0,505,3093.86963
4.0,405,3095.248673
3.0,331,3096.32551
0.0,204,3096.912726
4.0,375,3098.235779
3.0,345,3099.285343
7.0,561,3101.198917
0.0,217,3101.780427
0.0,208,3102.264934
3.0,351,3103.411501
2.0,297,3104.462539
2.0,304,3105.400095
4.0,424,3106.804613
1.0,237,3107.543213
5.0,498,3109.252486
2.0,297,3110.197148
0.0,194,3110.69915
1.0,274,3111.481147
1.0,270,3112.240146
3.0,332,3113.318669
3.0,385,3114.665811
2.0,309,3115.61632
3.0,335,3116.775321
4.0,427,3118.232364
0.0,193,3118.759875
1.0,259,3119.536392
2.0,290,3120.509956
4.0,402,3121.830626
3.0,377,3123.047291
5.0,484,3124.662313
4.0,393,3372.238164
4.0,409,3373.601721
4.0,376,3374.866762
4.0,406,3376.224829
4.0,420,3377.686341
3.0,348,3378.834852
1.0,280,3379.613876
3.0,354,3380.881408
2.0,296,3381.758409
5.0,496,3383.452099
3.0,368,3384.669668
1.0,228,3385.348707
1.0,280,3386.09573
2.0,287,3387.041732
2.0,336,3388.091753
2.0,328,3389.108752
1.0,249,3389.88689
5.0,468,3391.494007
4.0,427,3392.953034
2.0,332,3394.062086
3.0,365,3395.169631
3.0,370,3396.41468
2.0,325,3397.453208
4.0,428,3398.826718
2.0,327,3399.941747
3.0,333,3400.925259
2.0,309,3401.848284
0.0,195,3402.410282
0.0,195,3402.946307
5.0,467,3404.644893
0.0,205,3405.208891
5.0,522,3664.084718
6.0,546,3666.105231
9.0,581,3668.355734
2.0,310,3669.398029
2.0,281,3670.577999
2.0,319,3672.125653
6.0,575,3674.858799
2.0,303,3675.854865
2.0,291,3677.273609
5.0,535,3679.163149
1.0,266,3679.97915
5.0,482,3681.650182
10.0,672,3684.419805
3.0,331,3685.616326
1.0,290,3686.758013
5.0,505,3688.501158
2.0,348,3689.610215
4.0,393,3691.077268
6.0,557,3693.092867
0.0,194,3693.613417
3.0,395,3694.998961
4.0,433,3696.542964
4.0,412,3697.847541
3.0,349,3699.105544
4.0,384,3955.80008
6.0,532,3957.76737
2.0,291,3958.69637
3.0,407,3960.021397
4.0,409,3961.440398
4.0,446,3962.836504
2.0,319,3963.904503
2.0,314,3964.930504
3.0,341,3965.899504
3.0,348,3966.998503
4.0,441,3968.498502
3.0,349,3969.561504
5.0,480,3971.257539
3.0,304,3972.247562
4.0,422,3973.648563
1.0,275,3974.473562
5.0,447,3976.091563
2.0,326,3977.207563
4.0,400,3978.477562
2.0,310,3979.441563
3.0,359,3980.57856
5.0,443,3982.077597
2.0,292,3982.989109
7.0,514,3984.857109
2.0,303,3985.813107
4.0,435,3987.282107
4.0,380,4236.641022
5.0,469,4238.290563
8.0,592,4240.465563
2.0,304,4241.479105
3.0,372,4242.591106
3.0,389,4243.937617
4.0,415,4245.238616
14.0,768,4247.883135
4.0,392,4249.164647
1.0,276,4250.031646
3.0,354,4251.125161
1.0,227,4251.769699
6.0,499,4253.490698
2.0,308,4254.466234
1.0,276,4255.276259
4.0,386,4256.5188
1.0,277,4257.364801
4.0,435,4258.894347
3.0,355,4260.012347
5.0,451,4261.525347
3.0,356,4262.706347
6.0,486,4264.405554
4.0,422,4265.848899
5.0,438,4267.344949
4.0,410,4268.629972
2.0,323,4516.577793
2.0,310,4517.459302
1.0,274,4518.294394
1.0,225,4518.929942
5.0,490,4520.547085
0.0,197,4521.027111
2.0,280,4521.841552
3.0,347,4522.974111
4.0,409,4524.391201
5.0,442,4525.927304
3.0,321,4526.968336
2.0,287,4527.805876
2.0,300,4528.634458
4.0,401,4529.991568
0.0,208,4530.543104
5.0,461,4532.244182
5.0,483,4533.818209
1.0,260,4534.587743
2.0,314,4535.566488
6.0,508,4537.330068
2.0,307,4538.207089
5.0,499,4539.810134
5.0,450,4541.325649
7.0,606,4543.364742
4.0,404,4544.644355
3.0,305,4545.725989
6.0,510,4547.393692
5.0,515,4797.960749
7.0,565,4800.084816
3.0,341,4801.208394
2.0,299,4802.29265
3.0,355,4803.790328
2.0,311,4804.858329
2.0,287,4805.810423
5.0,441,4807.41393
4.0,399,4808.866932
4.0,390,4810.133934
5.0,496,4811.963024
